SP ID,Registration Batch,Gender,Age,Work Experience/Company,Work Experience/Designation,Work Experience/Tasks,Work Experience/Industry,Work Experience/From Date,Work Experience/To Date,Education/Qualifications,Education/Institution's Name,Education/City,Education/Specialization,Any Additional Skills,Computer Skills,Skills,Languages,Any Hobbies/Interests,Hobbies/Interests/Type,Hobbies/Interests/Name,CLUSTER,Other Cluster
619536,2025 - 2026 [upcoming_batch],Male,39,Tanishq,Senior retail sales officer,"Selling of good, diamond,platinum ti customers ,handling stock, casheir",Retail,"2009-01-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2012-12-06,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Master of Business Administration (M.B.A.),Gems b school,Banglore,Retail and marketing,,Basic skills in operating computer,Emedia / Active on Social Media,English (IN) (R W S T),,,,Sales & Marketing,
619528,2025 - 2026 [upcoming_batch],Female,22,CDW,Associate Consultant,Part of the Data Engineering Team. Working on migrating data from on premises to Cloud(ADF/Fabric). Worked on Alteryx to replicate the dataflow in ADF. Also have experience on building stored procedures in SSMS and packages in SSIS.,IT,"2023-07-03,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Technology (B.Tech),Sri Krishna College of Engineering and Technology,Coimbatore,Information Technology,,"Keyboard Shortcuts & Typing 
Word Processing: Microsoft Word, Google Docs 
Spreadsheets: Microsoft Excel, Google Sheets 
Presentations: Microsoft PowerPoint 
Database Management Systems: SQL Server, MySQL 
Data Tools: Snowflake, Power BI, Azure Synapse Analytics, Azure Data Factory, Fabric, SSMS, SSIS 
Programming Languages: Python, Java 
Web development: HTML, CSS, Javascript 
Github, Visual Studio Code 
Design: Figma",Emedia / Active on Social Media,"Tamil (R W S T),English (US) (R W S T),Hindi / हिंदी (R W  )",,,,IT,
619335,2025 - 2026 [upcoming_batch],Male,21,AIVariant,Business Analyst Intern,,IT,"2024-06-11,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2024-09-23,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Computer Application (B.C.A.),C D Jain,,,"Tableau, Power BI, Hadoop, Web designing, c-language, Event organizing for small businesses",Web Applications,IT / Data Analyst,English (IN) (R W S T),"Reading books, Sc-FI, spiritual, ",Communication,Prose writing,,
619120,2025 - 2026 [upcoming_batch],Male,40,"Apps Associates,Emtec Inc.","Practice Manager,Practice Manager","Responsible for technical delivery of Analytics projects, specializing in Oracle Analytics, Tableau and Power BI,Responsible for technical delivery of Analytics projects, specializing in Oracle Analytics, Tableau and Power BI","IT,IT","2023-06-01,2017-04-10,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2023-05-31,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Master of Science (M.Sc),University of Missouri - Kansas City,Kansas City,Computer Science,,IT Professional,IT / Developer,"English (US) (R W S T),Hindi / हिंदी (R W S T)",,Sports,Badminton,,
619111,2025 - 2026 [upcoming_batch],Female,35,"Citi Bank,BBVA Bank","IT Business Analyst,Business Analyst",,"IT,IT","2021-08-09,2013-10-14,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2021-08-06,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Master of Engineering (M.E.),Old Dominion University,Norfolk,Environmental Engineering,,MS Office.,IT / Business Analyst,"English (UK) (R W S T),Hindi / हिंदी (R W S T)",,,,,
619029,2025 - 2026 [upcoming_batch],Male,21,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",HSC/12,,Gujarat,,,"Can use the computer on intermidiate level , I am not pro",IT / Developer - front end,English (US) (R W S T),,,,,
618949,2025 - 2026 [upcoming_batch],Male,31,"Self empoyed,CEIEC (China Electronics Imp. & Exp. Corporation),Apple Electronics Products Commerce (Beijing) Company","English & Spanish tutor,Assistant Manager,Salesman","Help students pass exams,As translator and coordinator help the Project Manager in communicating with customers and suppliers,Transform Apple Store visitors into loyal customers","Teaching,Import and Export,Retail","2019-07-01,2014-07-01,2016-06-06,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2016-06-06,2019-07-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor - Other,Beijing Foreign Studies University,Beijing,Spanish Literature,"Spanish Tutor
Sound editing","Office, video-edition, sound-editing",Arts and Crafts / Film Director,"English (US) (R W S T),Spanish / Español (R W S T)","Studying Film/Movies, scripts, books - He has aspirations of becoming a film director",Theatre and Film,Videography,,
618917,2025 - 2026 [upcoming_batch],Male,24,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Arts (B.A.),"SRCD College, Katihar",KATIHAR,Political Science(Hons),,Don't have any certificate but have some basic knowledge.,Emedia / Active on Social Media,English (UK) (R W S ),,,,,
618880,2025 - 2026 [upcoming_batch],Male,29,Bloomantra foods pvt Ltd,Director,"Marketing, production, expansion",Agriculture,"2021-01-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Arts (B.A.),Bundelkhand University,Jhansi,,organic fertilizer making ,Normal daily use skills,Environment / Agriculture/ Farmer,English (US) (R W S T),,,,,
618829,2025 - 2026 [upcoming_batch],Male,36,"Texas instruments, analog devices, corning, aura semiconductor",Applications engineer,"Board design, circuit debugging",Industrial Products,"2014-12-20,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2024-07-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Master of Engineering (M.E.),Utah state university,Logan,Electronics,,"Word, excel etc",Soft Skills / Articulate in communication,"English (AU) (R W S T),Hindi / हिंदी (R W S T),Kannada (R  S ),Marathi (R W S )",Running and hiking,Sports,Others,,
618828,2025 - 2026 [upcoming_batch],Male,31,Palwal Handicrafts,Manager,Manage All processes of manufacturing and retail units.,Manufacturing,"2018-04-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","Bachelor of Commerce (B.Com),Other","Delhi University,ICAI","Delhi,delhi",Economics,,"Understand computer fundamentals very well, have done courses and operating MS office  programs and utility softwares regularly in my CA(Chartered Accountancy), Familier with popular accounting, auditing and tax filing software.",Emedia / Active on Social Media,"Hindi / हिंदी (R W S T),English (US) (R W S T)",,,,,
618810,2025 - 2026 [upcoming_batch],Male,27,"JBD & Associates,Kavita Trading","Audit Assistant,Tax Compliance Officer","Tax Audit, GST Audit, ITR Fillings, GST Return Fillings, TDS Fillings, Financial Management etc,Accounting, Books Finalization, Stock Audit, GST Return Fillings.","Accounts,Retail","2024-08-01,2022-06-03,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2024-02-29,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","Other,Master of Business Administration (M.B.A.),Bachelor of Commerce (B.Com)","Institute Of Chartered Accountants Of India,GujaratTechnological University,VNSGU","Navsari,Bilimora","Finance,Adv Accounts",,"Proficient in MS Office Suite, Accounting Software-Tally & Miracle, Auditing Software- Genius and Compu Tax, e-web applications.",Emedia / Active on Social Media,"English (UK) (R W S T),Hindi / हिंदी (R W S T)",,,,,
618735,2025 - 2026 [upcoming_batch],Male,29,"Self,Singh hum Automobile","Trader,Manager","Analytics and risk management along with asset allocation.,Manage day to day operations and keep the accounting of the business.","Finance,Automobiles","2020-02-01,2017-04-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,2020-02-01,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Commerce (B.Com),Delhi University,New Delhi,Finance,Google sheets,"Google sheets. 
OneNote. 
Fluent at basic computer operation. 
Research based web use.",Accounting / Basic Accountancy,"English (US) (R W S T),Marwadi (  S T)",Jujutsu,Sports,Others,,
618727,2025 - 2026 [upcoming_batch],Male,32,Nature basket,Accountant,Handling accounts,Accounts,"2020-08-10,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2023-07-17,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Commerce (B.Com),Vivekananda college,Puttur,,,"Microsoft excel ,word , and other basic operations","Environment / Agriculture/ Farmer,Accounting / Basic Accountancy","English (AU) (R W S T),Hindi / हिंदी (R W S T),Tulu (  S T),Tamil (  S T)",,Communication,Soft Skills training,,
618689,2025 - 2026 [upcoming_batch],Female,36,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",,,,,,don't know how to use,Soft Skills / Enthusiastic,Chinese (Simplified) / 简体中文 (R W S T),Yoga teacher,Sports,Others,,
618672,2025 - 2026 [upcoming_batch],Female,24,Primesoft solutions,Associate Software Engineer,Automation QA development,Engineering Design,"2023-08-07,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Master of Computer Application (M.C.A.),Ramaiah institute of technology,Bangalore,MCA,,"Excel, word processing, Python programming language, Power BI, DBMS","IT / Developer,IT / Tester/ Quality Analyst",Marathi (R W S T),,,,,
618654,2025 - 2026 [upcoming_batch],Male,21,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",,,,,,Basic,Emedia / Active on Social Media,English (UK) (R W S T),,,,,
618603,2025 - 2026 [upcoming_batch],Male,27,"HP,F & H","TSE - Product Specialist,TSE - Product Specialist","Overall Product Ownership, Support, Configuration, Troubleshooting  and sales of both Hardware and SAAS products.,Purely Software based role.","IT,Architecture","2021-03-01,2023-05-10,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2023-04-10,2024-04-10,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Engineering (B.E.),JSSATE,Bangalore,Electronics and Communication,,"Overall computer skills, typing, working within any software/CRM's. 
Intermediate level coding, analytics stuff, etc..",Emedia / Active on Social Media,"English (US) (R W S T),Kannada (R W S T),Hindi / हिंदी (R W S T)",,,,,
618472,2025 - 2026 [upcoming_batch],Male,27,,,,,"NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Science (B.Sc),Lepakshi degree college,Proddatur,,preparing for UPSC,No,Others / Air Force,English (UK) (R W S T),,,,,
618419,2025 - 2026 [upcoming_batch],Male,31,Procuradoria do Município de Campo Grande,"I am Layer for a City (after a civil service exam), representing its interests.","Here I am responsible for two departments, as the coordinator, you can say. On one of them, we manage legal actions against people or companys that have not paid their taxes, and that are of interesting value, above certain ammount. And on the other department, we manage all the legal condemnations that are towards the city and culminate in the necessety of payment, so that we verify the ammount, and follow it until the end of that legal case, with the ending being the payment of the indenization.",Government,"2020-06-09,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Law (B.L. / LLB),Universidade Federal de Pernambuco,Recife,Post Graduate at Penal Law,Lawyer,"Pretty much anything I can learn on a computer, as since I am kid I have been on one, basically for 25 years. 
As skills per se, I can say I am very fast on it and basically understand how it functions, how it operates, and the underlying mecanism of it.",Basic Computer Skills / Basic Computer (MS Office and Email) Skills,"English (US) (R W S T),Spanish / Español (R W S T)",,Sports,Football,,
618312,2025 - 2026 [upcoming_batch],Male,28,Oracle India Pvt Ltd,Application Engineer,I was responsible for developing the backend software development requirements for the Team's product.,IT,"2018-07-26,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT","2019-08-30,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT",Bachelor of Engineering (B.E.),Birla Institute of Technology and Science Pilani,Pilani,Electrical and Electronics Engineering,,I am proficient in running a computer and learning any new computer skills that I might require.,Emedia / Active on Social Media,English (US) (R W S ),"Pilates, Trekking, Kalari",,,,
