Person Id,Computer Skills,Additional Skills,Skillset,Work Experience,Work Designation,Education,Education Specialization,VRF ID,Seva Dept,Job Description,Skills/Keyword,Seva Allocation Accurate or not,Not understood/little confusion/some doubt,Comment
356324,"MS Excel, Powerpoint, Recording macros, advance excel, dashboards basic","Good with admin activities, communication (emails and calls), report generation, excel. KPO, BPO experience in the past. ",Soft Skills / Articulate in communication,Isha Foundation,Fundraising Associate,Bachelor of Commerce (B.Com),Commerce,Isha Bhiksha - Front Office Activities - 2513,Isha Bhiksha,Donation collection in the stall,Soft Skills / Articulate in communication,1,,
362286,Basic,"Manufacture Of Pharmaceuticals, Medicinal Chemical",Medical / Medical - Others,Bansal Life Sciences,Proprietor,Master of Business Administration (M.B.A.),,IPC - Tamil Nadu - Administrative Activities (Back Office) - 2743,Isha Programs and Communications / IPC - Tamil Nadu,"- Making followup calls to Schools and colleges. - Higher program enrolments, follow ups with the local potential volunteers. - 
Followup with regional schedulers for Influencer's, 
Scheduling Meeting, taking notes, and action follow ups. - 
Support in planning & organizing the sadhana day",Basic Computer Skills / Data Entry skills,1,,
365305,Basic,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,AYS,Executive,Bachelor - Other,Shipping,Bangalore Temple - Administrative Activities (Back Office) - 2831,Bangalore Temple,"VRO - Welcome point

front office/ backend calling
",Basic Computer Skills / Basic Computer (MS Office and Email) Skills,1,,
389798,i don't have computer skill,"Has basic understanding of allopathy, he is BHMS.",Medical / Allopathy Doctor,Balaji clinic,clinic,Bachelor of Homeopathic Medicine & Surgery (B.H.M.S.),Homoeopathy,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,could be in clinic?
368822,Basic knowledge,,Environment / Agriculture/ Farmer,Anil Agro Enterprise,Proprietor,Bachelor of Science (B.Sc),"Agriculture,Agricultural marketing and Cooperation",Farmer Producer Organisation (FPO) - Agri Marketing - 2488,Farmer Producer Organisation (FPO),"Explore crop wise market, value added products 
Establish market linkages. Business Plan preparation and daily tracking the plan vs actual. ",Corporate / Marketing & Branding Manager,1,,
344073,"I am good at IT aspects,before i did some job related IT aspects.First job is a programer,and then product manager.",,IT / IT - Others,"Beijing Duoyi Technology Co., Ltd",Front-end engineers,Bachelor of Education (B.Ed.),,IT - Applications - Product Manager - 2645,IT / IT - Applications,"Product Manager, Entrepreneur, Project Manager ",IT / Product Manager,1,,
365596,Hindi and English typing..,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Railway,Office superdent,Bachelor of Arts (B.A.),,Dhyanalinga - Guiding Visitors - 2373,Dhyanalinga,"Guiding devotees to Suryakund, assisting them in the wash area with tokens and directing them to the Kund,playing instructional videos and addressing any queries they may have, before finally guiding them to Dhyanalinga..,taking care of the chappal stand,",Soft Skills / Articulate in communication,1,,
384947,Basic computer skilks,Friendly,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Private family,Stewardess on Yacht,Bachelor - Other,Économy and social,Global Languages Publications - French Translator - 2252,Global Languages Publications,"French translator	Translation of text, creatives (text+image) and videos.
French Proofreader	Final review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
French Video editor	Video editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Soft Skills / Articulate in communication,1,,
385934,Kushal yuva program,,Soft Skills / Fit for Physical Seva,,,Bachelor of Science (B.Sc),,Akshaya - Akshaya Volunteers - 2735,Akshaya,To support in multiple areas in Akshaya.,Soft Skills / Fit for Physical Seva,1,,
356537,Video editing and basic computer skills.,"can translate and teach Italian and Spanish

she can teach acting

experience event planning

experience working with children",Education / Teacher - Others,italki,Teacher,Other,Performing Arts,Global Languages Publications - Italian Translator - 2263,Global Languages Publications,"Italian Proofreader	Final review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
Italian Video Editor	Video editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Soft Skills / Articulate in communication,1,,
350390,"I use professional sound and image editing software such as Pro Tools or Final Cut. 
I use software like edraw to prepare meetings. 
I used the program which is used to register participants for an isha event.",,Engineering / Sound Engineer,Smart,Sound Ingeneer,Bachelor of Arts (B.A.),Sound Ingeneer,Global Languages Publications - French Translator - 2252,Global Languages Publications,"French translator	Translation of text, creatives (text+image) and videos.
French Proofreader	Final review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
French Video editor	Video editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Soft Skills / Articulate in communication,1,,
372347,Data Entry,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,Other,Psychology,Volunteers Coordination Department - Recruitment Officer - 2658,Volunteers Coordination Department,"Screening of Poornanga Applications, able to handle projects and coordinating with teams",Corporate / HR Manager,0,1,No work experience mentioned
424132,Typewriting,,Construction & Fabrication / Architect,Commonwealth Bank,MD,Bachelor of Ayurvedic Medicine and Surgery (B.A.M.S),B.A.M.S,,,,,,,No allocation data record
428260,"Excel and MS word, Power Point ,microsoft office.",,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,REA India,Area Head,Master of Business Administration (M.B.A.),Marketing,Sadhanapada - Video calls - Interviews - 2699,Sadhanapada,Indian Applications - To collect or verify detailed information on a video call. They should be open to talkin for an hour and be able to build rapport to collect proper information. Willing to take 4 video calls per day.,Soft Skills / Articulate in communication,1,1,Could be in coordination or marketing role?
428180,"Sap,excel",,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Uber,Driver,Bachelor of Commerce (B.Com),Personal accounting,IPC - Tamil Nadu - Guiding Visitors - 2760,Isha Programs and Communications / IPC - Tamil Nadu,"Enrolling visitors for sessions.  Conducting session.  Data entry in google forms.
 2 Male + 2 Female - Sadhana Hall
5 Male + 5 Female - New halls in front of Adiyogi / sadhana hall

meeting guests, support in temple visit on individual level / in a group. encourage to take up IE programs - Temple area / sadhana hall",Soft Skills / Articulate in communication,1,,
427062,Am an IT professional so proficient in computer,"Front end automation testing, backend sometimes; Past experience of development in python, selenium and java;",IT / Automation Test Engineer,Synoptek,Sr software test engineer,Bachelor of Technology (B.Tech),,IT - Applications - Test Engineer - 2611,IT / IT - Applications,"QA, Manual Testing, SDET, Automation Testing, Celenium, TOSCA",IT / Tester/ Quality Analyst,1,,
312356,"I'm an intermediate python and Java coder, worked on frontend web development and some AI ML projects (basic). During my time in an organization, I learnt to use Canva extensively for designing banners posters and presentations.","Python, Java; Canva experience creating posters, banners, marketing videos.",Soft Skills / Articulate in communication,,,Bachelor of Technology (B.Tech),CSE,IT - Applications - Developer - 2610,IT / IT - Applications,"Python, Odoo, JavaScript,HTML,CSS,XML,React Native, React, Nodejs, Java, GoLang, Magento, PHP, FullStack",IT / Developer,1,,
426700,"Micrososft Office skills, Software testing",Software Engineer,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Siemens Technology and Services Private Limited,Software engineer(QA),Bachelor of Engineering (B.E.),Mechanical Engineering,IT - Applications - Test Engineer - 2611,IT / IT - Applications,"QA, Manual Testing, SDET, Automation Testing, Celenium, TOSCA",IT / Tester/ Quality Analyst,1,,
426261,"C Programming, R Programming, Basic Python Programming",,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Zinnov Pvt Ltd.,Software Engineer Intern,Bachelor of Engineering (B.E.),Computer Science,IPC - Business Analyst (BA) - 2687,IPC,Central (IPC-IT) Good understanding of how business functions. Able to translate the business cases to functional requirements. Having experience in connecting Business and the IT team,IT / Business Analyst,1,,
424700,basic knowledge,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,12th,Nurseries - TN - SPP & DP - Nursery Support - 2441,Rally for Rivers / Cauvery Calling / Nurseries - TN - SPP & DP,"Watering, soil filling, sapling shifting activities.",Soft Skills / Fit for Physical Seva,1,,
329230,Basic computer skills.,,Engineering / Mechanial Engineer,Nilkari Art,"Manager, and fabrication kinetic sculptures",Bachelor - Other,B. E (mechanical),Indian Language Publications - Marathi Translator - 2424,Indian Language Publications,"Translation of Sadhguru videos, articles, and books.",Media and Communication / Copywriter,0,,This might be based his language understading not on skills
424554,"Basic Computer Skills ( MS Word, MS Power point) 
Apart from this I am learning and using the Figma Design tool",,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,PolicyBazaar Insurance Brokers Private Limited,Associate Sales Consultant,Bachelor of Science (B.Sc),Mathematics,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,Could be in sales dept?
424216,I completed my basic computer course,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Manipal Hospitals,Neuro technologist,Bachelor of Commerce (B.Com),Accountancy,Ashram Clinic - Front Office Activities - 2440,Ashram Clinic,"To receive patients, make necessary entries, guide them to the consultation rooms, attend to the phone calls and guide the patients on their queries",Soft Skills / Articulate in communication,1,,
423861,"MS WORD, EXCEL, POWER POINT","His job is in manufacturing sector. He handles customers' requests for their products, raises clarifications on the product and takes orders and processes them He seems to have skills in handling customer front",Basic Computer Skills / Basic Computer (MS Office and Email) Skills,VASANTHA TOOL CRAFTS PVT LTD,BUSINESS DEVELOPMENT ENGINEER,Bachelor of Technology (B.Tech),MECHANICAL ENGINEERING,Sadhanapada - Video calls - Interviews - 2697,Sadhanapada,"Indian Applications - ~ Manage and coordinate scheduling and video calls:
        - Pre-call activities (scheduling, invitations, etc.)
        - Video call participation
        - Post-call activities (follow-up, etc.)
~ Monitor daily and weekly performance metrics (numbers and targets)
~ Proactively take initiative in their work
Experience should be in any customer facing roles such as sales, entrepreneur (not a small business owner),  hotel front office, customer support, etc.",Soft Skills / Strong Interpersonal skills (Coordinator),1,,
380678,"Website\webapp infrastructure engineering,Devops, Cloud business application maintenance",Web application management,IT / IT - Others,Robert Bosch,Senior associate consultant,Master of Science (M.Sc),Software systems,Sadhanapada - Video calls - Interviews - 2697,Sadhanapada,"Indian Applications - ~ Manage and coordinate scheduling and video calls:
        - Pre-call activities (scheduling, invitations, etc.)
        - Video call participation
        - Post-call activities (follow-up, etc.)
~ Monitor daily and weekly performance metrics (numbers and targets)
~ Proactively take initiative in their work
Experience should be in any customer facing roles such as sales, entrepreneur (not a small business owner),  hotel front office, customer support, etc.",Soft Skills / Strong Interpersonal skills (Coordinator),0,1,Could be in IT related department?
375159,"I have a Diploma in Computer Programming and Diploma in Microsoft Office Applications 
I am a Youtube Content Creator  
I own and manage a Product Review Website on Wordpress","Currently content creator ; On youtube and wordpress blog, instagram; Creates edits, uploads videos; manages google partnership, affiliate marketing for amazon; Currently sharing Isha life content on her channel; Prior to that she owned and managed baby care center for 4,5 years. Prior to that 10 years in import export documentation.",Emedia / Active on Social Media,productreviewsrameshwari.com,Owner of the website,Diploma,Computer application programming,Isha Sacred Walks - Promotions - 2868,Isha Sacred Walks,Researching and implementing the best avenues to promote the yatras.,Emedia / Active on Social Media,1,,
314208,Well versed in MS-Office applications.,Corporate Research (FMCG/banking),Soft Skills / Articulate in communication,Deloitte,Team-Lead,Master of Business Administration (M.B.A.),Finance,Isha Leadership Academy - Sales Manager/ Executive - 2284,Sadhguru Academy,"Enrollments Support - support with the calling campaign for programs. Requires strong communication skills. Sales experience is not required.
",Soft Skills / Articulate in communication,1,,
423202,No,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,Undergraduate,Bzc,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,1,,
423137,"Basic skills of Microsoft Office - Excell, Word, Powerpoint. 
Basic skills of SAP.",,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Gujarat Narmada Valley Fertilizers & Chemicals Limited - Gujarat,Senior Engineer,Bachelor of Engineering (B.E.),Mechanical Engineering,Construction - LSP - Chemical/ Paint Engineer - 2462,Construction - LSP,For painting Department,Engineering / Engineering - Others,1,,ME bacground but I think his work experience is related to paint or chemical.
385230,"I have experience working on XL, Google sheet and a private company's software.",,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,"Sree Jayanathan Chits,Pvt Ltd.",Assistant Accounts Manager,Bachelor of Computer Application (B.C.A.),,Tamil Publications - Tamil Translator - 2342,Tamil Publications,English to Tamil translator for translating blog articles and also to do dubbing scripts,Media and Communication / Content Writer,1,,
422742,Adobe Photoshop,,Basic Computer Skills / Data Entry skills,False,,Bachelor of Science (B.Sc),Visual communication (Viscom),Bangalore Temple - Administrative Activities (Back Office) - 2856,Bangalore Temple,Security & Parking - Security Backoffice. Backoffice work,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,1,,
422508,"All basic, MS Office and Miscellaneous.",Supervisor Logistics Inventory Company,Soft Skills / Articulate in communication,Intex Logistics Pvt. Ltd.,Supervisor,Bachelor of Engineering (B.E.),Mechanical,Vahanam - Maintenance Support - 2332,Vahanam,Maintaining records and job work activity,Accounting / Basic Accountancy,1,,
422420,Basic skills,,Medical / Allopathy Doctor,"St Anna Hospital, Germany",Doctor,Bachelor of Medicine and Bachelor of Surgery (M.B.B.S.),-,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,Could be in Clinic
357316,Marketing and Tech since last 12 years. Specialize in SEO and content marketing,app support team,Emedia / Digital Marketing,Independent Self,Marketing Consultant,Bachelor of Engineering (B.E.),Electrical,Emedia Operations - Growth Marketing Manager - 2588,E-Media Panel / Emedia Operations,"5+ years experience in digital marketing and atleast 2+ years experience in App Growth - performance marketing, ASO, partnerships. B2C / App experience is must",Emedia / Digital Marketing,1,,
399979,Good,"Has been with her fathers business; Has good understanding; Has done small internships - excel based, sales etc; Interacted with startups - Saas based, small and middle level ",Soft Skills / Articulate in communication,Om marketing,Intern,Bachelor of Business Administration (B.B.A.),Finance and international business ( will passout in 2024),Ashram Administration - Guiding Visitors -  2281,Ashram Administration,"1. Should be presentable and have good communication skills
2. Should be able to troubleshoot any issue ( lost and found, wheel chair assistance, medical help, etc.,) or to escalate to the right person promptly.
3. Will be good if they know both Hindi and English
4. To be able to update the FAQs document ( we use them as a training for the help desk volunteers)
5. To be balanced enough to handle visitors/guests of any temperament.",Soft Skills / Articulate in communication,1,,Could be marketing related dept but I think she is suitable for the job as per the job description.
422247,"Programming in Java, HTML, CSS, Bootstrap, Javascript, MS Word, MS PowerPoint",,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,Bachelor of Technology (B.Tech),Computer Science Engineering,Emedia Operations - Platform Manager - 2561,E-Media Panel / Emedia Operations,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",Emedia / Active on Social Media,0,,Don't have management or media related experience.
389951,basic computer skills,,Soft Skills / Articulate in communication,Teleperformance ltd.,customer agent,Bachelor of Arts (B.A.),,IPC - Tamil Nadu - Administrative Activities (Back Office) - 2745,Isha Programs and Communications / IPC - Tamil Nadu,"Getting the schedule from program coord, managing data, creating reports for analysis",Soft Skills / Strong Interpersonal skills (Coordinator),1,,
422068,Intermediate computer skills,Food Business,Corporate / Small Business Owner,Amiya Foods,Owner,HSC/12,Science,Akshaya - Akshaya Volunteers - 2735,Akshaya,To support in multiple areas in Akshaya.,Soft Skills / Fit for Physical Seva,1,,
363004,No,Did BCA but not much knowledge of his subject; ,Basic Computer Skills / Data Entry skills,,,Bachelor of Computer Application (B.C.A.),,Sadhanapada - Dining Support - 2720,Sadhanapada,"Prana Danam - Prana Danam core team - Support for dining activities including Serving and Coordination. taking small sessions, meetings, preferably satsang ishangas",Soft Skills / Fit for Physical Seva,1,,Job description prefers Satsang Ishangas.
347232,No,,Soft Skills / Enthusiastic,,,,,Dhyanalinga - Guiding Visitors - 2373,Dhyanalinga,"Guiding devotees to Suryakund, assisting them in the wash area with tokens and directing them to the Kund,playing instructional videos and addressing any queries they may have, before finally guiding them to Dhyanalinga..,taking care of the chappal stand,",Soft Skills / Articulate in communication,1,,
366371,"Java, Selenium, API, SQL, Appium, Oracle, Software Testing, Mobile Testing, MS-Office.",,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,Bachelor of Engineering (B.E.),Computer Science,Hata Yoga School - Dining Support - 2384,Hata Yoga School,"Need Volunteers to support with daily dining activity of the Hatha Yoga Teacher Training Program. Full-time support needed. We need a combination of both male and female volunteers; 
enough male volunteers needed for lifting, shifting food and materials",Soft Skills / Fit for Physical Seva,0,,Have IT skills.
421742,"Programming, email communication, email, databases",,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Sirma Business consultancy,Backend developer,Bachelor of Engineering (B.E.),,Ashram Administration - Library Support - 2834,Ashram Administration,"Punctuality, critical thinking, time management, interpersonal skills, strong communication skills, customer service and organisational skills.",Soft Skills / Articulate in communication,1,,
421715,"I have done basic casual normal computer use, but don't have expertise in computer skills.",,Accounting / Basic Accountancy,,,Bachelor of Commerce (B.Com),,Archives - Transcription - 2457,Archives,"1. English - Backlog Transcription, completing Tamil content in English files.
2. Tamil - Proofreading backlog files, completing English content in Tamil files
3. Edited - Proofreading backlog files",Media and Communication / Content Writer,1,,
320630,"Basic computer skill like MS excel, word",,Corporate / Financial & Accounting Executive,Tata Consultancy Services,Senior Associate,Bachelor of Science (B.Sc),Honours in Geography,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,have work experience as executive 
372825,"Programming, Software Development.",,IT / Developer - back end,Microsoft,Software Engineer 2,Bachelor of Technology (B.Tech),Computer Science,IT - Applications - Developer - 2610,IT / IT - Applications,"Python, Odoo, JavaScript,HTML,CSS,XML,React Native, React, Nodejs, Java, GoLang, Magento, PHP, FullStack",IT / Developer,1,,
421542,,,Environment / Agriculture/ Farmer,,,,,Akshaya - Akshaya Volunteers - 2735,Akshaya,To support in multiple areas in Akshaya.,Soft Skills / Fit for Physical Seva,1,,
421514,Average,,General / Lawyer,,,Bachelor of Law (B.L. / LLB),,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,Could support in legal roles.
421506,"MS Office 
Photo & Video editing,  
Translation work","Homemaker; Supported locally in making shorts for save soil, knows how to download videos etc. basic skills",Emedia / Active on Social Media,,,Master of Arts (M.A.),Economics,Indian Language Publications - Telugu Translator - 2421,Indian Language Publications,"Translation of Sadhguru videos, articles, and books.",Media and Communication / Copywriter,1,,
421368,"Intermediate in Microsoft Office Excel, Word, Power Point,  
Know how to work in Tally ERP 9. 
Typing Skills English and Kannada",,Accounting / Auditor,YNG and Co LLP,Articled Assistant,Bachelor of Commerce (B.Com),Accounts and Finance,Sadhanapada - Ashram Support - 2787,Sadhanapada,Ashram Support volunteers,Soft Skills / Fit for Physical Seva,0,,Could be in Accounts or Finance related dept.
421318,No,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,,Gramotsavam - Call Centre - 2378,Outreach / Action For Rural Rejuvenation / Gramotsavam,Good Communication and basic computer skills,Soft Skills / Articulate in communication,1,,
321911,"Microsoft basic : word, excel, ppt  
Adobe basic: photoshop,  
Canva basic",,Arts and Crafts / Digital Animator,"Worked for NG, Anita Dongre, SA",Design and development,Diploma,Fashion design and garment technology,Guest care - Guest Care Support - 2349,IYC Communications / Guest care,"A Guestcare volunteer, play a pivotal role in ensuring the smooth execution of high-profile VIP visits to our Isha Yoga Centre. Responsibilities include providing support by guiding guests through our facilities and articulating the impact of Isha's diverse projects with eloquence. As the face of our organization, they must embody presentability. In majority of the visits, these volunteers are the  first touch point for guests. Guestcare volunteer not only represents the values of Isha but also shapes the first impression our guests have of us. Later in many cases these guests have supported Isha in big ways. WIll be good to have an Indian/ Overseas",Soft Skills / Articulate in communication,1,,have skills in art and craft
421194,"Being into education field as profession i have a good computer skill. I am very efficient with MS Office - Word, PowerPoint, Excel. Apart from this i am good with search engines and handling social media.",Certified Diet councelling,Medical / Medical - Others,"SDNB Vaishnav College for Women, Chennai",Assistant Professor,Master of Science (M.Sc),Clinical Nutrition,Sadhanapada - Video calls - Interviews - 2697,Sadhanapada,"Indian Applications - ~ Manage and coordinate scheduling and video calls:
        - Pre-call activities (scheduling, invitations, etc.)
        - Video call participation
        - Post-call activities (follow-up, etc.)
~ Monitor daily and weekly performance metrics (numbers and targets)
~ Proactively take initiative in their work
Experience should be in any customer facing roles such as sales, entrepreneur (not a small business owner),  hotel front office, customer support, etc.",Soft Skills / Strong Interpersonal skills (Coordinator),0,,
