Job Title,Job Title Generic Description,Request Name,Request Name Description,Department,# of Volunteers,Gender Preference,Skills/Keywords,Add'l Skills,Languages
Ad Creative Design Expert,"Reviews and analyzes ad creatives to recommend improvements aligned with industry best practices. Offers guidance on design elements, including imagery, typography, and layout, to enhance campaign impact. Collaborates with teams to develop visually compelling and effective marketing materials.",Emedia Operations - Ad Creative Design Expert - 2551,"Analyze existing Ad creatives, give inputs on improving them based on current best practices and framework. Help provide ad creative design suggestions incl. what image should be used, how typography should be used etc for all campaigns",E-Media Panel / Emedia Operations,1,Any,Media and Communication / Creative Writer,,
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Human Possibilities - Administrative Activities (Back Office) - 2254,"Process payroll for employees in the organization
Familiarize yourself and keep current with the taxation of salaries, benefits and other factors
Maintain personnel database.
Manage organization budget and expenses
Report to department supervisor regarding daily activities and issues
Address and resolve employee complaints relating to the payroll system
Work with company database programs to process payroll
Prepare reports to relevant departments about payroll, company budget and expense",Human Possibilities,4,Any,Corporate / HR Executive,Corporate / HR Manager,Kannada Tamil Hindi / हिंदी English (UK)
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Ashram Administration - Administrative Activities (Back Office) - 2290,"For Courier 
1. Sorting incoming couriers
2. Date Entry of couriers
3. Handing over parcels

For Dhvanikarnam Seva (Requesting a new name from Sadhguru) We will be opening it up to all meditators and non meditators within a month

1. Answer emails 
2. Help registered participants through their name request journey
3. Handle data 
4. Prepare and courier blessing cards",Ashram Administration,4,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills Soft Skills / Soft-spoken and cordial,,English (UK) Hindi / हिंदी
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Global Languages Publications - Administrative Activities (Back Office) - 2323,"Training and onboardingCreating training courses for the department volunteers, conducting in-person and online training programs 
Back office supportCreating SRT files based on the English transcript and video, request video stem files, maintain the repository of video stems and transcripts/SRT files.",Global Languages Publications,2,Any,Soft Skills / Strong Interpersonal skills (Coordinator),Basic Computer Skills / Basic Computer (MS Office and Email) Skills,
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Isha Leadership Academy - Administrative Activities (Back Office) - 2331,Support Sadhguru Academy with creating a repository of knowledge. This will involve consolidating all the Isha leadership content into the SGA system.,Sadhguru Academy,3,Any,Soft Skills / Articulate in communication,,English (UK)
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Electrical - Administrative Activities (Back Office) - 2336,"Raising meeting room requests 
Transport / travel requests 
Maintain a expenses logRaising other department requests 
Compiling everyday Log / status snapshots 
Eg EB units / DG units / solar units / no of power interruptions / no of safety related Incidents/ total complaints raised / resolved / meetings / etc",Electrical,1,Male,Soft Skills / Soft-spoken and cordial,,
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Mobile Health Clinic - Administrative Activities (Back Office) - 2366,MHC and Camp Patients Data entry and report generation,Outreach / Mobile Health Clinic,3,Any,Basic Computer Skills / Data Entry skills,,Tamil English (UK)
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Mobile Health Clinic - Administrative Activities (Back Office) - 2367,Mhc medicine godown support and Camp announcement support,Outreach / Mobile Health Clinic,4,Any,General / Inventory,,Tamil English (UK)
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Dhyanalinga - Administrative Activities (Back Office) - 2375,". Sadhana pada Ateendance Maintenance,meeting arrangements,coordinate with other area coordinators

HP- attendance checking, communicate with HP team,and Dept team 

 Email Communication",Dhyanalinga,2,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills Soft Skills / Enthusiastic Soft Skills / Fit for Physical Seva,,English (US) Tamil
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Isha Health Solutions - Administrative Activities (Back Office) - 2413,Administrative Activities (Back Office),Isha Health Solutions,1,Any,Soft Skills / Articulate in communication,,
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Back office - Administrative Activities (Back Office) - 2438,"Calling, handling email communications, basic computer activities, bookkeeping, data entry, maintaining database, scanning documents, managing inventory, storekeeping, scheduling meetings, organization, time management, and basic report making.",Rally for Rivers / Cauvery Calling / Back office,1,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,English (US) Tamil Hindi / हिंदी
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Construction - LSP - Administrative Activities (Back Office) - 2453,Will be doing back office accounting work,Construction - LSP,6,Any,Accounting / Basic Accountancy,,Tamil
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Laundry - Administrative Activities (Back Office) - 2594,"back office, supervising/monitoring and day to day activities",Laundry,1,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,Tamil English (UK)
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",IT - Applications - Administrative Activities (Back Office) - 2631,"Office Assistant, Vouchers, Basic Computer Skills, Excel",IT / IT - Applications,2,Any,Office Assistant / Admin Assistant,,
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Local welfare - Administrative Activities (Back Office) - 2650,we need to document our activity. we are doing variety of activities in the local village so we need documents all those activities,Outreach / Local welfare,2,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Tamil
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Sadhanapada - Administrative Activities (Back Office) - 2651,"Sahaya - meeting scheduling, facilitator and Meet SP team meetings. follow-up with facilitators, ensure feedback is updated. support Step out as needed",Sadhanapada,1,Female,Basic Computer Skills / Data Entry skills,Basic Computer Skills / Basic Computer (MS Office and Email) Skills Soft Skills / Enthusiastic Soft Skills / Soft-spoken and cordial,Hindi / हिंदी English (US)
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Overseas Coordination Office - Administrative Activities (Back Office) - 2680,Responding to emails and facilitating medical approval through clinic for cottage stay.,Overseas Coordination Office,1,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Articulate in communication,
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Overseas Coordination Office - Administrative Activities (Back Office) - 2683,Filing C-forms to the Bureau of Immigration,Overseas Coordination Office,1,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Overseas Coordination Office - Administrative Activities (Back Office) - 2684,Overseas guests precheck-in. Gathering information and documents about the guests before their arrival to minimize the check-in process time,Overseas Coordination Office,1,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Overseas Coordination Office - Administrative Activities (Back Office) - 2685,"Calling, handling email communications, basic computer activities,organization and basic report making.",Overseas Coordination Office,3,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Media and Communication / BPO,
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Sadhanapada - Administrative Activities (Back Office) -  2698,,Sadhanapada,4,Any,,,
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Sadhanapada - Administrative Activities (Back Office) - 2713,Programs - Preparing SOP's and also supporting with calling,Sadhanapada,1,Any,Soft Skills / Soft-spoken and cordial,Basic Computer Skills / Data Entry skills General / Inventory,English (US)
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Sadhanapada - Administrative Activities (Back Office) - 2715,"Accommodations - Calling, handling email communications, basic computer activities, bookkeeping, data entry, maintaining database, scanning documents, managing inventory, storekeeping, scheduling meetings, organization, time management, and basic report making.",Sadhanapada,4,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Articulate in communication Soft Skills / Enthusiastic Soft Skills / Soft-spoken and cordial Soft Skills / Strong Interpersonal skills (Coordinator),
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Sadhanapada - Administrative Activities (Back Office) - 2740,"Overseas Applications - Managing and processing the Emails
- Managing Data
- Schedule the interview calls
- Managing Sadhaka
- Creating SOPs",Sadhanapada,3,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Articulate in communication Basic Computer Skills / Data Entry skills Soft Skills / Soft-spoken and cordial Soft Skills / Strong Interpersonal skills (Coordinator),
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",IPC - Tamil Nadu - Administrative Activities (Back Office) - 2743,"- Making followup calls to Schools and colleges. - Higher program enrolments, follow ups with the local potential volunteers. - 
Followup with regional schedulers for Influencer's, 
Scheduling Meeting, taking notes, and action follow ups. - 
Support in planning & organizing the sadhana day",Isha Programs and Communications / IPC - Tamil Nadu,11,Any,Basic Computer Skills / Data Entry skills,Soft Skills / Articulate in communication Basic Computer Skills / Basic Computer (MS Office and Email) Skills Soft Skills / Soft-spoken and cordial Soft Skills / Strong Interpersonal skills (Coordinator),
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",IPC - Tamil Nadu - Administrative Activities (Back Office) - 2744,IECO Participants Care (Registration support & 7 session completion reminder giving etc),Isha Programs and Communications / IPC - Tamil Nadu,1,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Articulate in communication Basic Computer Skills / Basic Computer (MS Office and Email) Skills Soft Skills / Soft-spoken and cordial Soft Skills / Strong Interpersonal skills (Coordinator),
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",IPC - Tamil Nadu - Administrative Activities (Back Office) - 2745,"Getting the schedule from program coord, managing data, creating reports for analysis",Isha Programs and Communications / IPC - Tamil Nadu,2,Any,Soft Skills / Strong Interpersonal skills (Coordinator),Soft Skills / Articulate in communication Basic Computer Skills / Basic Computer (MS Office and Email) Skills Soft Skills / Soft-spoken and cordial,
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",IPC - Tamil Nadu - Administrative Activities (Back Office) - 2746,"1. Fixing and Participating in calls and taking meeting notes 
2. Following up on the action items with the verticals coord through calls 
3. Data consolidation vertical wise and region wise for monthly status report 
4. Organizing support for in person meetings. 
5. This volunteer can also support MSR back office activities - calls and follow ups.",Isha Programs and Communications / IPC - Tamil Nadu,1,Any,Basic Computer Skills / Data Entry skills,Soft Skills / Articulate in communication Basic Computer Skills / Basic Computer (MS Office and Email) Skills Soft Skills / Soft-spoken and cordial Soft Skills / Strong Interpersonal skills (Coordinator),
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",IPC - Tamil Nadu - Administrative Activities (Back Office) - 2747,"- Creating Registration Forms for regional requirements - Coordinating with the IT team for registration form implementation - Coordinate with the TN region verticals for collating the requirements - Coordinate with the Emedia team for the Content, etc.",Isha Programs and Communications / IPC - Tamil Nadu,2,Any,IT / Data Analyst IT / IT - Others,Soft Skills / Articulate in communication Soft Skills / Soft-spoken and cordial Soft Skills / Strong Interpersonal skills (Coordinator),
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",IPC - Tamil Nadu - Administrative Activities (Back Office) - 2752,Free Yoga - Enquiries handling & converting as registration for IE/Hathayoga/Free Yoga,Isha Programs and Communications / IPC - Tamil Nadu,1,Any,Soft Skills / Strong Interpersonal skills (Coordinator),Soft Skills / Articulate in communication Basic Computer Skills / Basic Computer (MS Office and Email) Skills Soft Skills / Soft-spoken and cordial,
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Isha Home School - Administrative Activities (Back Office) - 2764,"HP Coordinator
""* Manage recruitment logistics (Ex: job postings promotion to pre-screening, interview scheduling, etc.)
* Participate in interview process
* Coordinate the onboarding of new team members
* Collate and build onboarding and training modules for all new teachers and staff
* Manage rotational observation schedules for new teachers
* Research legally mandated training and create presentations and training materials
* Track progress of new teachers and provide support as needed
* Conduct teacher development workshops and events
* Assist with employee policy development
* Organize engagement activities and events for team members
* Manage HP related communication of relevant news, memos, etc.
* Help with compliance reporting and performance appraisals
* Coordinate with HP, VCD and OCO on HP related communications""",Isha Home School,1,Any,Office Assistant / Admin Assistant,,
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Legal - Administrative Activities (Back Office) - 2793,Should have good communication skills and willingness to work beyond normal hours if needed. Should have coordination skills to coordinate with various departments and be a team player.,Legal,2,Any,Office Assistant / Admin Assistant Soft Skills / Articulate in communication,,Tamil English (UK) Hindi / हिंदी
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Security - Administrative Activities (Back Office) - 2796,security back-office work,Security,2,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,English (US) Tamil
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Bangalore Temple - Administrative Activities (Back Office) - 2820,"HP - Completing Joining formalities
Documentation Verification
Uploading Documents

Good with excel
Operating PC
Good Communication",Bangalore Temple,1,Any,Soft Skills / Strong Interpersonal skills (Coordinator),,Kannada Telugu / తెలుగు English (US)
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Bangalore Temple - Administrative Activities (Back Office) - 2825,"Admin - Interacting with govt Schools/ school children, organizing events, general administrative support

Enthusuiastic, commited, able to follow instruction, school teaching experience a plus",Bangalore Temple,1,Any,Office Assistant / Admin Assistant,,English (US) Kannada
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Bangalore Temple - Administrative Activities (Back Office) - 2831,"VRO - Welcome point

front office/ backend calling",Bangalore Temple,2,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Kshetra - Administrative Activities (Back Office) - 2836,"1. Call applicants and support with arranging for interview dates and times
2. Ensure support from when their interview is fixed till the interview is complete i.e answer any questions they have, support in walking them through cottage booking process, ensure welcome point is aware of their arrival, meet them at arrival, ensure wrist band collection
3. Ensure set up for video and interview
4. Answer any queries they may have after the interview",Kshetra,6,Any,Office Assistant / Admin Assistant Soft Skills / Articulate in communication,,English (UK) Hindi / हिंदी Tamil
Administrative Activities (Back Office),"Manages essential administrative tasks, including data entry, record maintenance, and document management. Supports operational efficiency by coordinating schedules, handling communications, and ensuring accurate reporting. Plays a vital role in maintaining organized and seamless back-office operations.",Ashram Administration - Administrative Activities (Back Office) -  2840,,Ashram Administration,1,Any,,,
