Cluster,Cluster Name,Task
4,Sales and Marketing Activities,"{'Selling of good, diamond,platinum ti customers ,handling stock, casheir', 'Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed.', 'Marketing, production, expansion', 'to operate our app & to give sales pitching to clients', 'I operate single handedly a small branch post office in a remote village of West Bengal. I manage accounts, do sales and marketing of postal products and help villagers make better financial decisions for themselves and their kids as a whole. I also help them by imparting in mobile banking facilities and create awareness against scams and financial frauds.', 'Overall Product Ownership, Support, Configuration, Troubleshooting  and sales of both Hardware and SAAS products.'}"
35,Financial Account Management,"{'Tax Audit, GST Audit, ITR Fillings, GST Return Fillings, TDS Fillings, Financial Management etc', 'Handling accounts', 'I operate single handedly a small branch post office in a remote village of West Bengal. I manage accounts, do sales and marketing of postal products and help villagers make better financial decisions for themselves and their kids as a whole. I also help them by imparting in mobile banking facilities and create awareness against scams and financial frauds.', 'Analytics and risk management along with asset allocation.'}"
19,Financial Transaction Facilitation,"{'Here I am responsible for two departments, as the coordinator, you can say. On one of them, we manage legal actions against people or companys that have not paid their taxes, and that are of interesting value, above certain ammount. And on the other department, we manage all the legal condemnations that are towards the city and culminate in the necessety of payment, so that we verify the ammount, and follow it until the end of that legal case, with the ending being the payment of the indenization.', 'I operate single handedly a small branch post office in a remote village of West Bengal. I manage accounts, do sales and marketing of postal products and help villagers make better financial decisions for themselves and their kids as a whole. I also help them by imparting in mobile banking facilities and create awareness against scams and financial frauds.'}"
16,Fraud Awareness and Prevention Education,"{'I operate single handedly a small branch post office in a remote village of West Bengal. I manage accounts, do sales and marketing of postal products and help villagers make better financial decisions for themselves and their kids as a whole. I also help them by imparting in mobile banking facilities and create awareness against scams and financial frauds.'}"
5,Payment Processing,"{'Billing, customer service, appointment booking,floor incharge,billing', 'Server at a restaurant'}"
6,Customer Interaction Services,"{'Billing, customer service, appointment booking,floor incharge,billing', 'Server at a restaurant'}"
11,Retail Staff,"{'Billing, customer service, appointment booking,floor incharge,billing', 'Selling of good, diamond,platinum ti customers ,handling stock, casheir'}"
9,Operational Management,"{'Selling of good, diamond,platinum ti customers ,handling stock, casheir', 'Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed.', 'Manage All processes of manufacturing and retail units.', 'Analytics and risk management along with asset allocation.'}"
21,Data Transfer Solutions,{'Part of the Data Engineering Team. Working on migrating data from on premises to Cloud(ADF/Fabric). Worked on Alteryx to replicate the dataflow in ADF. Also have experience on building stored procedures in SSMS and packages in SSIS.'}
22,Data Integration and Workflow Tools,{'Part of the Data Engineering Team. Working on migrating data from on premises to Cloud(ADF/Fabric). Worked on Alteryx to replicate the dataflow in ADF. Also have experience on building stored procedures in SSMS and packages in SSIS.'}
29,Database Operations,{'Part of the Data Engineering Team. Working on migrating data from on premises to Cloud(ADF/Fabric). Worked on Alteryx to replicate the dataflow in ADF. Also have experience on building stored procedures in SSMS and packages in SSIS.'}
38,Data Visualization Tools,"{'Responsible for technical delivery of Analytics projects, specializing in Oracle Analytics, Tableau and Power BI'}"
31,Student Exam Pass Rates,{'Help students pass exams'}
37,Software Development and Manufacturing Cluster,"{'Manage All processes of manufacturing and retail units.', ""I was responsible for developing the backend software development requirements for the Team's product."", 'Marketing, production, expansion', 'Automation QA development'}"
2,Growth Strategies,"{'Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed.', 'Marketing, production, expansion'}"
40,Board Design Concepts,"{'Board design, circuit debugging'}"
23,Debugging and Troubleshooting Techniques,"{'Board design, circuit debugging', 'Overall Product Ownership, Support, Configuration, Troubleshooting  and sales of both Hardware and SAAS products.'}"
34,Tax Audits,"{'Tax Audit, GST Audit, ITR Fillings, GST Return Fillings, TDS Fillings, Financial Management etc'}"
17,Tax Compliance Services,"{'Tax Audit, GST Audit, ITR Fillings, GST Return Fillings, TDS Fillings, Financial Management etc'}"
14,Legal and Tax Enforcement Management,"{'Here I am responsible for two departments, as the coordinator, you can say. On one of them, we manage legal actions against people or companys that have not paid their taxes, and that are of interesting value, above certain ammount. And on the other department, we manage all the legal condemnations that are towards the city and culminate in the necessety of payment, so that we verify the ammount, and follow it until the end of that legal case, with the ending being the payment of the indenization.'}"
15,Indemnization Management Cluster,"{'Here I am responsible for two departments, as the coordinator, you can say. On one of them, we manage legal actions against people or companys that have not paid their taxes, and that are of interesting value, above certain ammount. And on the other department, we manage all the legal condemnations that are towards the city and culminate in the necessety of payment, so that we verify the ammount, and follow it until the end of that legal case, with the ending being the payment of the indenization.'}"
25,Medical Imaging Modalities,"{'Responsible for sales of consumables and molecules labeled with stable isotopes (high value-added products) for various analytical and imaging techniques such as NMR, MS, MRI and PET. Client calls - 40% / Salesforce and Quotations - 40 % / Client Visits - 20% Results: Increase of profits by 53% between 31.12.2018 - 31.12.2017  2019 main achievement - Profits match with previous year, with business diversification to raise a new devision of business as 26% of the profits of the Zone I managed.'}"
13,Wellness Center Operations,"{'Assisting doctor, handling patients, technical operations, overall flow of the wellness center'}"
3,Food Service Operations,{'Server at a restaurant'}
7,Hygiene Management,{'Server at a restaurant'}
