Task,Response
Handling technical customer issues on the front end.,"Handling technical customer issues, front end troubleshooting"
Practice in  pharmacy shop,"pharmacy operations, customer service, medication dispensing, inventory management, patient counseling, prescription processing, healthcare communication, regulatory compliance"
"I took charge of graphic designing, exhibition display & guidance, article writing, social media promotion, company culture explanation and some part of creative product designing.","graphic designing, exhibition display, guidance, article writing, social media promotion, company culture explanation, creative product designing"
"Class 11th and 12th IIT JEE maths, hostel academic incharge","IIT JEE preparation, mathematics instruction, academic management, mentorship, student guidance"
Delivering physics and mathematics lectures and making PPT,"Delivering lectures, Preparing presentations, Teaching physics, Teaching mathematics"
Class coordinator and in co- curricular activities,"Class coordinator, co-curricular activities"
"1. Assist the department manager in developing trust project resources, be responsible for project screening, efficiently complete trust product scheme design and project approval.  2. Independently carry out and fully complete the project due diligence report, have a comprehensive and in-depth understanding of the overall situation of the project, assist the company in compliance, risk control, and legal affairs to complete the entire process of project approval;  3. Write legal contract texts, complete trust contract signing;independently complete project mortgage, pledge, notarization and other procedures.  4. As the first responsible person, responsible for the process management and post-project liquidation of the trust project.","project resource development, project screening, product scheme design, project approval, project due diligence, compliance, risk control, legal affairs, legal contract writing, contract signing, project mortgage procedures, pledge procedures, notarization, process management, post-project liquidation"
Office work in school,"office administration, scheduling, data entry, communication, organization, record keeping, customer service"
"Calling to all Isha participate, Volunteer at Isha program like International day of yoga in Muzaffarpur, Hall set-up","Calling participants, Volunteering at events, Setting up halls"
Manage teams in the different regions in the world to upsell and cross sell solutions to maximize the review and attain yearly targets of over 700M usd,"manage teams, upsell solutions, cross-sell solutions, maximize revenue, attain yearly targets, global coordination"
"To Manage overall our Firm, take decisions on behalf of all the partners.","Manage, decision-making, leadership, partnership collaboration"
"Overseeing transactional accounting, month end close/reporting, multi currency bank accounts and intercompany reconciliation","transactional accounting, month end close, reporting, multi currency bank accounts, intercompany reconciliation"
Filing monthly VAT & CST returns,"Filing, monthly VAT returns, monthly CST returns"
I take care of children and youth under 18 who have mental illness and who's coming from bad family situations,"child care, mental illness support, youth counseling, crisis intervention, family support, emotional support, therapeutic activities"
"VAT Reports and related, clearing and monitoring tax accounts","VAT Reports, clearing tax accounts, monitoring tax accounts"
Teach trx suspention training pilates postural & breathing therapy meditación techniques trampoline,"teach, TRX suspension training, Pilates, postural therapy, breathing therapy, meditation techniques, trampoline"
"Project management, site management, business management, financials, accounting, book keeping, etc,.","Project management, site management, business management, financials, accounting, book keeping"
"Involves treating patients with bone fractures, operating and rehabilitating them.","treating patients, bone fractures, operating, rehabilitating"
काही नाही,काही नाही
"Policeman, protecting Aircraft","Policing, protection, security, law enforcement, aircraft safety"
"drafting legal documents , assisting senior counsel.","drafting legal documents, assisting senior counsel"
Holding the responsibilities of defining architecture to delivering the product with team,"defining architecture, delivering the product, teamwork"
French and two African languages to German interpreter,"French interpretation, African languages interpretation, German interpretation"
"Collection of deposits from several organizations in Kathmandu, Relationship Management with recurring depositors, Marketing of different banking deposit services","Collection of deposits, Relationship management, Marketing banking deposit services"
Training and Education for Nursing Staff,"Training, Education, Nursing Staff"
"Responsible for application Build & Release process which includes Code Compilation, Packaging, Security Scanning and code quality scanning, Deployment and Application Configuration","application Build & Release process, Code Compilation, Packaging, Security Scanning, code quality scanning, Deployment, Application Configuration"
"• Spearhead the development and execution of marketing content strategies, collaborating with cross-functional teams to align with campaign objectives. • Ensure service excellence by defining campaign goals, adhering to legal and brand standards, and facilitating seamless content dissemination across channels. • Lead talent management initiatives, fostering collaboration and knowledge sharing within the marketing team. • Contribute to measuring marketing effectiveness, compiling metrics, and preparing impactful campaign impact reports. • Build relationships within the marketing community and facilitate effective project management with internal teams.","marketing content strategies, cross-functional collaboration, campaign goal definition, legal and brand standards adherence, content dissemination, talent management, knowledge sharing, marketing effectiveness measurement, metrics compilation, campaign impact reporting, relationship building, project management"
RESEARCH,research
"Client communication, Medical coding, Working with a team of 80 coders","Client communication, Medical coding, Team collaboration"
Deploying the application and fixing the checkmarx issue as well as resolving bugs.,"Deploying the application, fixing checkmarx issues, resolving bugs"
Overseeing and managing key human resources functions in alignment with organizational goals and supporting business objectives.,"overseeing human resources functions, managing human resources, aligning with organizational goals, supporting business objectives"
"Cab booking, cab allocation, bill verification, local shifting,shuttle service etc..","cab booking, cab allocation, bill verification, local shifting, shuttle service"
Design & Management,"Design, Management"
Monitoring the operations of IT departement,"Monitoring, operations, IT department"
Production,Production
"As a Flutter developer, my current responsibilities include developing mobile applications, ensuring a smooth and intuitive user experience. Work with a team  of 10 members and build the app and deliver it to the client.","mobile application development, user experience design, teamwork, project delivery, client communication"
Management of technical machine and manpower in defence of the country,"management, technical machine operation, manpower coordination, defense operations"
"Saving crop from diseases, managing micro nutrients, managing water in paddy cultivation and crop based responsibilities","Saving crop from diseases, managing micro nutrients, managing water in paddy cultivation, crop based responsibilities"
"Stage in a goat farm, where I took care of the goats, the stable, cheesemaking and free pasture","goat care, stable maintenance, cheesemaking, pasture management"
Lecturer,"teaching, preparing lectures, developing course materials, assessing student performance, providing academic guidance, conducting research, collaborating with colleagues, attending professional development events"
"Patient care, brain injury medicine, assistant clinical professor","Patient care, brain injury medicine, clinical education, supervision, patient assessment, treatment planning, interdisciplinary collaboration"
