SP ID,Work Experience/Company,Work Experience/Designation,Work Experience/Tasks,Work Experience/Industry,Education/Qualifications,Education/Specialization,Any Additional Skills,Computer Skills,Skills,Languages,Gender,Age,Work Experience/From Date,Work Experience/To Date,summary
619542,NA,NA,['NA'],['NA'],Bachelor of Law (B.L. / LLB),Litigation,NA,Basic,General / Lawyer,['English (UK) (R W S T)'],Male,24.0,['NA'],['NA'],"
Participant 619542 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: Bachelor of Law (B.L. / LLB) in Litigation.
They have the following skills: General / Lawyer and NA and computer skill 
Basic and know the following languages: English (UK) (R W S T).
The participant is a Male and 24.0 years old.
"
619537,Manipal hospital Whitefield,Senior patient care coordinator,"['Billing, customer service, appointment booking,floor incharge,billing', 'Billing, invoice, quotation,tender']","['Healthcare', 'Purchase']",Bachelor of Commerce (B.Com),Accounts,NA,Diploma in computer application,Emedia / Active on Social Media,['Kannada (R W S T)'],Female,39.0,"['2017-07-10', '2008-03-05']","['NA', '2017-01-11']","
Participant 619537 has the following work experience: A Healthcare in the industry doing Billing, customer service, appointment booking,floor incharge,billing tasks. A Purchase in the industry doing Billing, invoice, quotation,tender tasks for 106 months.
They have the following qualifications: Bachelor of Commerce (B.Com) in Accounts.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Diploma in computer application and know the following languages: Kannada (R W S T).
The participant is a Female and 39.0 years old.
"
619536,Tanishq,Senior retail sales officer,"['Selling of good, diamond,platinum ti customers ,handling stock, casheir']",['Retail'],Master of Business Administration (M.B.A.),Retail and marketing,NA,Basic skills in operating computer,Emedia / Active on Social Media,['English (IN) (R W S T)'],Male,39.0,['2009-01-01'],['2012-12-06'],"
Participant 619536 has the following work experience: A Retail in the industry doing Selling of good, diamond,platinum ti customers ,handling stock, casheir tasks for 47 months.
They have the following qualifications: Master of Business Administration (M.B.A.) in Retail and marketing.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Basic skills in operating computer and know the following languages: English (IN) (R W S T).
The participant is a Male and 39.0 years old.
"
619528,CDW,Associate Consultant,['Part of the Data Engineering Team. Working on migrating data from on premises to Cloud(ADF/Fabric). Worked on Alteryx to replicate the dataflow in ADF. Also have experience on building stored procedures in SSMS and packages in SSIS.'],['IT'],Bachelor of Technology (B.Tech),Information Technology,NA,"Keyboard Shortcuts & Typing 
Word Processing: Microsoft Word, Google Docs 
Spreadsheets: Microsoft Excel, Google Sheets 
Presentations: Microsoft PowerPoint 
Database Management Systems: SQL Server, MySQL 
Data Tools: Snowflake, Power BI, Azure Synapse Analytics, Azure Data Factory, Fabric, SSMS, SSIS 
Programming Languages: Python, Java 
Web development: HTML, CSS, Javascript 
Github, Visual Studio Code 
Design: Figma",Emedia / Active on Social Media,"['Tamil (R W S T)', 'English (US) (R W S T)', 'Hindi / हिंदी (R W  )']",Female,22.0,['2023-07-03'],['NA'],"
Participant 619528 has the following work experience: A IT in the industry doing Part of the Data Engineering Team. Working on migrating data from on premises to Cloud(ADF/Fabric). Worked on Alteryx to replicate the dataflow in ADF. Also have experience on building stored procedures in SSMS and packages in SSIS. tasks.
They have the following qualifications: Bachelor of Technology (B.Tech) in Information Technology.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Keyboard Shortcuts & Typing 
Word Processing: Microsoft Word, Google Docs 
Spreadsheets: Microsoft Excel, Google Sheets 
Presentations: Microsoft PowerPoint 
Database Management Systems: SQL Server, MySQL 
Data Tools: Snowflake, Power BI, Azure Synapse Analytics, Azure Data Factory, Fabric, SSMS, SSIS 
Programming Languages: Python, Java 
Web development: HTML, CSS, Javascript 
Github, Visual Studio Code 
Design: Figma and know the following languages: Tamil (R W S T).English (US) (R W S T).Hindi / हिंदी (R W  ).
The participant is a Female and 22.0 years old.
"
619335,AIVariant,Business Analyst Intern,['NA'],['IT'],Bachelor of Computer Application (B.C.A.),NA,"Tableau, Power BI, Hadoop, Web designing, c-language, Event organizing for small businesses",Web Applications,IT / Data Analyst,['English (IN) (R W S T)'],Male,21.0,['2024-06-11'],['2024-09-23'],"
Participant 619335 has the following work experience: A IT in the industry doing NA tasks for 3 months.
They have the following qualifications: Bachelor of Computer Application (B.C.A.) in NA.
They have the following skills: IT / Data Analyst and Tableau, Power BI, Hadoop, Web designing, c-language, Event organizing for small businesses and computer skill 
Web Applications and know the following languages: English (IN) (R W S T).
The participant is a Male and 21.0 years old.
"
619120,Apps Associates,Practice Manager,"['Responsible for technical delivery of Analytics projects, specializing in Oracle Analytics, Tableau and Power BI', 'Responsible for technical delivery of Analytics projects, specializing in Oracle Analytics, Tableau and Power BI']","['IT', 'IT']",Master of Science (M.Sc),Computer Science,NA,IT Professional,IT / Developer,"['English (US) (R W S T)', 'Hindi / हिंदी (R W S T)']",Male,40.0,"['2023-06-01', '2017-04-10']","['NA', '2023-05-31']","
Participant 619120 has the following work experience: A IT in the industry doing Responsible for technical delivery of Analytics projects, specializing in Oracle Analytics, Tableau and Power BI tasks. A IT in the industry doing Responsible for technical delivery of Analytics projects, specializing in Oracle Analytics, Tableau and Power BI tasks for 73 months.
They have the following qualifications: Master of Science (M.Sc) in Computer Science.
They have the following skills: IT / Developer and NA and computer skill 
IT Professional and know the following languages: English (US) (R W S T).Hindi / हिंदी (R W S T).
The participant is a Male and 40.0 years old.
"
619111,Citi Bank,IT Business Analyst,['NA'],"['IT', 'IT']",Master of Engineering (M.E.),Environmental Engineering,NA,MS Office.,IT / Business Analyst,"['English (UK) (R W S T)', 'Hindi / हिंदी (R W S T)']",Female,35.0,"['2021-08-09', '2013-10-14']","['NA', '2021-08-06']","
Participant 619111 has the following work experience: A IT in the industry doing NA tasks.
They have the following qualifications: Master of Engineering (M.E.) in Environmental Engineering.
They have the following skills: IT / Business Analyst and NA and computer skill 
MS Office. and know the following languages: English (UK) (R W S T).Hindi / हिंदी (R W S T).
The participant is a Female and 35.0 years old.
"
619029,NA,NA,['NA'],['NA'],HSC/12,NA,NA,"Can use the computer on intermidiate level , I am not pro",IT / Developer - front end,['English (US) (R W S T)'],Male,21.0,['NA'],['NA'],"
Participant 619029 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: HSC/12 in NA.
They have the following skills: IT / Developer - front end and NA and computer skill 
Can use the computer on intermidiate level , I am not pro and know the following languages: English (US) (R W S T).
The participant is a Male and 21.0 years old.
"
618949,Self empoyed,English & Spanish tutor,"['Help students pass exams', 'As translator and coordinator help the Project Manager in communicating with customers and suppliers', 'Transform Apple Store visitors into loyal customers']","['Teaching', 'Import and Export', 'Retail']",Bachelor - Other,Spanish Literature,"Spanish Tutor
Sound editing","Office, video-edition, sound-editing",Arts and Crafts / Film Director,"['English (US) (R W S T)', 'Spanish / Español (R W S T)']",Male,31.0,"['2019-07-01', '2014-07-01', '2016-06-06']","['NA', '2016-06-06', '2019-07-01']","
Participant 618949 has the following work experience: A Teaching in the industry doing Help students pass exams tasks. A Import and Export in the industry doing As translator and coordinator help the Project Manager in communicating with customers and suppliers tasks for 23 months. A Retail in the industry doing Transform Apple Store visitors into loyal customers tasks for 37 months.
They have the following qualifications: Bachelor - Other in Spanish Literature.
They have the following skills: Arts and Crafts / Film Director and Spanish Tutor
Sound editing and computer skill 
Office, video-edition, sound-editing and know the following languages: English (US) (R W S T).Spanish / Español (R W S T).
The participant is a Male and 31.0 years old.
"
618917,NA,NA,['NA'],['NA'],Bachelor of Arts (B.A.),Political Science(Hons),NA,Don't have any certificate but have some basic knowledge.,Emedia / Active on Social Media,['English (UK) (R W S )'],Male,24.0,['NA'],['NA'],"
Participant 618917 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: Bachelor of Arts (B.A.) in Political Science(Hons).
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Don't have any certificate but have some basic knowledge. and know the following languages: English (UK) (R W S ).
The participant is a Male and 24.0 years old.
"
618880,Bloomantra foods pvt Ltd,Director,"['Marketing, production, expansion']",['Agriculture'],Bachelor of Arts (B.A.),NA,organic fertilizer making ,Normal daily use skills,Environment / Agriculture/ Farmer,['English (US) (R W S T)'],Male,29.0,['2021-01-01'],['NA'],"
Participant 618880 has the following work experience: A Agriculture in the industry doing Marketing, production, expansion tasks.
They have the following qualifications: Bachelor of Arts (B.A.) in NA.
They have the following skills: Environment / Agriculture/ Farmer and organic fertilizer making  and computer skill 
Normal daily use skills and know the following languages: English (US) (R W S T).
The participant is a Male and 29.0 years old.
"
618829,"Texas instruments, analog devices, corning, aura semiconductor",Applications engineer,"['Board design, circuit debugging']",['Industrial Products'],Master of Engineering (M.E.),Electronics,NA,"Word, excel etc",Soft Skills / Articulate in communication,"['English (AU) (R W S T)', 'Hindi / हिंदी (R W S T)', 'Kannada (R  S )', 'Marathi (R W S )']",Male,36.0,['2014-12-20'],['2024-07-01'],"
Participant 618829 has the following work experience: A Industrial Products in the industry doing Board design, circuit debugging tasks for 115 months.
They have the following qualifications: Master of Engineering (M.E.) in Electronics.
They have the following skills: Soft Skills / Articulate in communication and NA and computer skill 
Word, excel etc and know the following languages: English (AU) (R W S T).Hindi / हिंदी (R W S T).Kannada (R  S ).Marathi (R W S ).
The participant is a Male and 36.0 years old.
"
618828,Palwal Handicrafts,Manager,['Manage All processes of manufacturing and retail units.'],['Manufacturing'],Bachelor of Commerce (B.Com),Economics,NA,"Understand computer fundamentals very well, have done courses and operating MS office  programs and utility softwares regularly in my CA(Chartered Accountancy), Familier with popular accounting, auditing and tax filing software.",Emedia / Active on Social Media,"['Hindi / हिंदी (R W S T)', 'English (US) (R W S T)']",Male,31.0,['2018-04-01'],['NA'],"
Participant 618828 has the following work experience: A Manufacturing in the industry doing Manage All processes of manufacturing and retail units. tasks.
They have the following qualifications: Bachelor of Commerce (B.Com) in Economics.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Understand computer fundamentals very well, have done courses and operating MS office  programs and utility softwares regularly in my CA(Chartered Accountancy), Familier with popular accounting, auditing and tax filing software. and know the following languages: Hindi / हिंदी (R W S T).English (US) (R W S T).
The participant is a Male and 31.0 years old.
"
618810,JBD & Associates,Audit Assistant,"['Tax Audit, GST Audit, ITR Fillings, GST Return Fillings, TDS Fillings, Financial Management etc', 'Accounting, Books Finalization, Stock Audit, GST Return Fillings.']","['Accounts', 'Retail']",Other,NA,NA,"Proficient in MS Office Suite, Accounting Software-Tally & Miracle, Auditing Software- Genius and Compu Tax, e-web applications.",Emedia / Active on Social Media,"['English (UK) (R W S T)', 'Hindi / हिंदी (R W S T)']",Male,27.0,"['2024-08-01', '2022-06-03']","['NA', '2024-02-29']","
Participant 618810 has the following work experience: A Accounts in the industry doing Tax Audit, GST Audit, ITR Fillings, GST Return Fillings, TDS Fillings, Financial Management etc tasks. A Retail in the industry doing Accounting, Books Finalization, Stock Audit, GST Return Fillings. tasks for 20 months.
They have the following qualifications: Other in NA.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Proficient in MS Office Suite, Accounting Software-Tally & Miracle, Auditing Software- Genius and Compu Tax, e-web applications. and know the following languages: English (UK) (R W S T).Hindi / हिंदी (R W S T).
The participant is a Male and 27.0 years old.
"
618735,Self,Trader,"['Analytics and risk management along with asset allocation.', 'Manage day to day operations and keep the accounting of the business.']","['Finance', 'Automobiles']",Bachelor of Commerce (B.Com),Finance,Google sheets,"Google sheets. 
OneNote. 
Fluent at basic computer operation. 
Research based web use.",Accounting / Basic Accountancy,"['English (US) (R W S T)', 'Marwadi (  S T)']",Male,29.0,"['2020-02-01', '2017-04-01']","['NA', '2020-02-01']","
Participant 618735 has the following work experience: A Finance in the industry doing Analytics and risk management along with asset allocation. tasks. A Automobiles in the industry doing Manage day to day operations and keep the accounting of the business. tasks for 34 months.
They have the following qualifications: Bachelor of Commerce (B.Com) in Finance.
They have the following skills: Accounting / Basic Accountancy and Google sheets and computer skill 
Google sheets. 
OneNote. 
Fluent at basic computer operation. 
Research based web use. and know the following languages: English (US) (R W S T).Marwadi (  S T).
The participant is a Male and 29.0 years old.
"
618727,Nature basket,Accountant,['Handling accounts'],['Accounts'],Bachelor of Commerce (B.Com),NA,NA,"Microsoft excel ,word , and other basic operations",Environment / Agriculture/ Farmer,"['English (AU) (R W S T)', 'Hindi / हिंदी (R W S T)', 'Tulu (  S T)', 'Tamil (  S T)']",Male,32.0,['2020-08-10'],['2023-07-17'],"
Participant 618727 has the following work experience: A Accounts in the industry doing Handling accounts tasks for 35 months.
They have the following qualifications: Bachelor of Commerce (B.Com) in NA.
They have the following skills: Environment / Agriculture/ Farmer and NA and computer skill 
Microsoft excel ,word , and other basic operations and know the following languages: English (AU) (R W S T).Hindi / हिंदी (R W S T).Tulu (  S T).Tamil (  S T).
The participant is a Male and 32.0 years old.
"
618689,NA,NA,['NA'],['NA'],NA,NA,NA,don't know how to use,Soft Skills / Enthusiastic,['Chinese (Simplified) / 简体中文 (R W S T)'],Female,36.0,['NA'],['NA'],"
Participant 618689 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: NA in NA.
They have the following skills: Soft Skills / Enthusiastic and NA and computer skill 
don't know how to use and know the following languages: Chinese (Simplified) / 简体中文 (R W S T).
The participant is a Female and 36.0 years old.
"
618672,Primesoft solutions,Associate Software Engineer,['Automation QA development'],['Engineering Design'],Master of Computer Application (M.C.A.),MCA,NA,"Excel, word processing, Python programming language, Power BI, DBMS",IT / Developer,['Marathi (R W S T)'],Female,24.0,['2023-08-07'],['NA'],"
Participant 618672 has the following work experience: A Engineering Design in the industry doing Automation QA development tasks.
They have the following qualifications: Master of Computer Application (M.C.A.) in MCA.
They have the following skills: IT / Developer and NA and computer skill 
Excel, word processing, Python programming language, Power BI, DBMS and know the following languages: Marathi (R W S T).
The participant is a Female and 24.0 years old.
"
618654,NA,NA,['NA'],['NA'],NA,NA,NA,Basic,Emedia / Active on Social Media,['English (UK) (R W S T)'],Male,21.0,['NA'],['NA'],"
Participant 618654 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: NA in NA.
They have the following skills: Emedia / Active on Social Media and NA and computer skill 
Basic and know the following languages: English (UK) (R W S T).
The participant is a Male and 21.0 years old.
"
