Request Name,Job Title,Job Description,Department,Languages,Skills/Keywords,Add'l Skills
Global Languages Publications - Translators - 2260,Translators,"Hungarian translator Translation of text, creatives (text+image) and videos.",Global Languages Publications,Hungarian / Magyar,Soft Skills / Articulate in communication,Soft Skills / Strong Interpersonal skills (Coordinator)
Global Languages Publications - Indonesian Translator - 2261,Indonesian Translator,"Indonesian Support CoordinatorAssigns tasks to volunteers and makes sure that all the tasks are completed on time.
Indonesian TranslatorTranslation of text, creatives (text+image) and videos.
Indonesian ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
Indonesian Video EditorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,Indonesian / Bahasa Indonesia,Soft Skills / Articulate in communication,"Soft Skills / Strong Interpersonal skills (Coordinator),Arts and Crafts / Video Editor"
Waste Management - Maintenance Support - 2262,Maintenance Support,"stps daily key role activities,some datas collection and back office,accounts",Waste Management,"English (UK),Hindi / हिंदी",Accounting / Basic Accountancy,Basic Computer Skills / Basic Computer (MS Office and Email) Skills
Global Languages Publications - Italian Translator - 2263,Italian Translator,"Italian ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
Italian Video EditorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,Italian / Italiano,Soft Skills / Articulate in communication,NA
Global Languages Publications - Japanese Translator - 2264,Japanese Translator,"Japanese Team Coordinator: Main POC between ashram admin team and the language team (remote volunteers outside of the ashram). Finds and onboards new volunteers. Team building, conducts meetings with the team. Conflict resolution within the team. Process design to optimize work.
Japanese Support Coordinator:Assigns tasks to volunteers and makes sure that all the tasks are completed on time.
Japanese Translator:Translation of text, creatives (text+image) and videos.
Japanese Proofreader:Final review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
Japanese Video Editor:Video editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,Japanese / 日本語,Soft Skills / Articulate in communication,"Soft Skills / Strong Interpersonal skills (Coordinator),Arts and Crafts / Video Editor"
Global Languages Publications - Korean Video Editor - 2265,Korean Video Editor,"Korean TranslatorTranslation of text, creatives (text+image) and videos.
Korean Video EditorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,Korean (KR) / 한국어 (KR),Soft Skills / Articulate in communication,Arts and Crafts / Video Editor
Cottage Accomodation - Supervising Activities - 2267,Supervising Activities,"Overseeing various tasks done by sevadhars and managing people, assigning responsibilities, providing support",Cottage Accomodation,"Bengali / বাংলা,Tamil,English (US)",General / Hospitality/ Hotel Manager,NA
Cottage Accomodation - Front Office Activities - 2268,Front Office Activities,"Reception, Handling queries, Check-ins, Check-outs",Cottage Accomodation,English (US),General / Hospitality/ Hotel Manager,NA
Cottage Accomodation - Call Centre - 2269,Call Centre,Handling guests queries over the phone,Cottage Accomodation,English (US),Media and Communication / BPO,NA
Global Languages Publications - Mandarin Chinese Translator - 2270,Mandarin Chinese Translator,"Mandarin Chinese Support Coordinator(1)Assigns tasks to volunteers and makes sure that all the tasks are completed on time.
Mandarin Chinese Translator(1)Translation of text, creatives (text+image) and videos.
Mandarin Chinese Video Editor (1)Video editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides
Mandarin Chinese Proofreader (2)Final review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language",Global Languages Publications,Chinese (Traditional) / 繁體中文,Soft Skills / Articulate in communication,Soft Skills / Strong Interpersonal skills (Coordinator)
Global Languages Publications - Persian Translator - 2271,Persian Translator,"Persian Translator(2)Translation of text, creatives (text+image) and videos.
Persian Proofreader (2)Final review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language",Global Languages Publications,Persian / فارسی,Soft Skills / Articulate in communication,NA
Global Languages Publications - Polish Translator - 2272,Polish Translator,"Polish TranslatorTranslation of text, creatives (text+image) and videos.
Polish ReviewerFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language",Global Languages Publications,Polish / Język polski,Soft Skills / Articulate in communication,NA
Global Languages Publications - Portuguese Translator - 2273,Portuguese Translator,"Portuguese TranslatorTranslation of text, creatives (text+image) and videos.
Portuguese Video EditorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides
Portuguese ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language",Global Languages Publications,"Portuguese (BR) / Português (BR),Portuguese (AO) / Português (AO)",Soft Skills / Articulate in communication,"Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Arts and Crafts / Video Editor"
Global Languages Publications - Romanian Video Editor - 2274,Romanian Video Editor,"Romanian TranslatorTranslation of text, creatives (text+image) and videos.
Romanian ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
Romanian Video EditorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,Romanian / română,Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills
Global Languages Publications - Russian Video Editor - 2275,Russian Video Editor,"Russian Video EditorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides
Russian ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language",Global Languages Publications,Russian / русский язык,Soft Skills / Articulate in communication,Engineering / Computer Science Engineer
Foundation Finance - Accountant - 2276,Accountant,"Manage complete lifecycle of ERP implementation starts from understanding the business processes of an organization till project management and designing of different phases of ERP implementation which includes - Customizations, integration, support, understanding of forms, fields, workflows etc.",Finance / Foundation Finance,English (US),Accounting / Chartered Accountant,Accounting / Basic Accountancy
Halls Maintenance - Maintenance Support - 2277,Maintenance Support,"Maintenance Support in AYA , Spanda Hall , Chamundi and Velliangri Prashala.",Halls Maintenance,FALSE,General / Hospitality/ Hotel Manager,General / Inventory
Global Languages Publications - Translators - 2278,Translators,"Serbian Support CoordinatorAssigns tasks to volunteers and makes sure that all the tasks are completed on time.
Serbian TranslatorTranslation of text, creatives (text+image) and videos.
Serbian ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
Serbian Video EditorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,"Serbian (Latin) / srpski,Serbian (Cyrillic) / српски",Soft Skills / Articulate in communication,"Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Strong Interpersonal skills (Coordinator)"
Global Languages Publications - Spanish Translator - 2279,Spanish Translator,"Spanish TranslatorTranslation of text, creatives (text+image) and videos.
Spanish Video EditorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides
Spanish ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language",Global Languages Publications,"Spanish (AR) / Español (AR),Spanish (BO) / Español (BO),Spanish (CL) / Español (CL),Spanish (CO) / Español (CO),Spanish (CR) / Español (CR),Spanish (DO) / Español (DO),Spanish (EC) / Español (EC),Spanish (GT) / Español (GT),Spanish (MX) / Español (MX),Spanish / Español,Spanish (PA) / Español (PA),Spanish (PE) / Español (PE),Spanish (PY) / Español (PY),Spanish (UY) / Español (UY),Spanish (VE) / Español (VE)",Soft Skills / Articulate in communication,NA
Global Languages Publications - Thai Translator - 2280,Thai Translator,"Thai Team CoordinatorMain POC between ashram admin team and the language team (remote volunteers outside of the ashram). Finds and onboards new volunteers. Team building, conducts meetings with the team. Conflict resolution within the team. Process design to optimize work.
Thai TranslatorTranslation of text, creatives (text+image) and videos.",Global Languages Publications,NA,Soft Skills / Articulate in communication,Soft Skills / Strong Interpersonal skills (Coordinator)
Ashram Administration - Guiding Visitors - 2281,Guiding Visitors,"1. Should be presentable and have good communication skills
2. Should be able to troubleshoot any issue ( lost and found, wheel chair assistance, medical help, etc.,) or to escalate to the right person promptly.
3. Will be good if they know both Hindi and English
4. To be able to update the FAQs document ( we use them as a training for the help desk volunteers)
5. To be balanced enough to handle visitors/guests of any temperament.",Ashram Administration,"English (UK),Hindi / हिंदी","Soft Skills / Articulate in communication,Soft Skills / Soft-spoken and cordial",NA
Ashram Administration - Customer Support Representatives - 2282,Customer Support Representatives,"1. Answering inbound calls, and providing information as per queries.
 2. Evaluate the caller queries/problems/complaints to respond to their needs appropriately and guide them to connect with the relevant department/Service/Program.
 3. Re-route calls/slack to co-volunteer to assist callers of different langauge e.g. Tamil, Hindi.
 4. If there is an issue which is repeatedly reported by one or more caller escalate it to Call Center In-charge to take action.
 5. Pro-actively call back to the caller, to inform to resolve their queries (whenever needed)",Ashram Administration,"English (UK),Hindi / हिंदी,Tamil","Soft Skills / Articulate in communication,Soft Skills / Soft-spoken and cordial",NA
Ashram Administration - Front Office Activities - 2283,Front Office Activities,"Turn on the Display TVs 
2.Turn on the Chants at WP Audio system.
3.Check-in Formalities for Visitors, Volunteers, Residents , Cottage & PR Guests , Vendors using CICO Tool - Updation of ID and Address Proofs along with their Photograph and issue appropriate wristband for each individual. 
4.Creating of Wristband Barcodes and QR Codes ,and attaching it to the Appropriate wristbands as per requests of Helpdesk Coordinating Volunteers .
5.Coordinate between Overseas Coordination & Cottage reception Teams in case of any errors during checkin of Guests and Volunteers.
6.Supervise Check In for Mega Events and Programs.
7.Raising requests as per situation for Maintenance and Service purposes at WP.
8.Coordinating with the concerned person until the raised request is closed or canceled.
9.Replying to the Admin requests through Welcomepoint Email ID .Forwarding certain requirements to appropriate Volunteers.
10.Maintenance , updation and review of records and databases of Volunteers and Guests. 
11.Issue of Appropriate Wristbands as per the requirement of the request of Ashram Program Team
12.Preparation of Volunteers and Guest ID Cards ,issue and collection of the same.{LTV, SP, Daily Volunteer}
13.Updation of Notice boards at Bhiksha Hall ,WP, Cottages ,Volunteer Dorms
14.Print Outs / Xerox for Ashramites and Visitors –[Documents to be printed has to be sent to – welcomepoint@ishafoundation.org ]
15.Provision of Laptops , Webcams , Scanners - as per requests of Program Team or Organizing Volunteers.
16.Provision of WIfi on Coordinator Approval to OCO Guests in urgent need
17.Provision of print outs and printing LTV/FTV id cards
18.Maintenance of WP accessories and amenities {Cupboards , Laptops, Desktops & Stationery]
19.Guiding New joiners , interview attendees to appropriate Departments and Stay areas along with Help desk volunteers.
20.Maintain the cleanliness of Welcome Point",Ashram Administration,"English (UK),Hindi / हिंदी,Tamil","Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Soft-spoken and cordial",NA
Isha Leadership Academy - Sales Manager/ Executive - 2284,Sales Manager/ Executive,Enrollments Support - support with the calling campaign for programs. Requires strong communication skills. Sales experience is not required.,Sadhguru Academy,English (UK),Soft Skills / Articulate in communication,NA
Isha Leadership Academy - Content Manager - 2285,Content Manager,"-Identify content for campaigns
-Raise and follow up JIRA requests with all departments - impressions, emedia and video pub.
 
E.g - 
Coordinate with Impressions for design of collaterals - Brochure, Standee, flyers, posters, tags, certificates, note books, feedback forms, workshop reflection forms.
Coordinate with vendor/emedia for website updates, HTML coding for creating HTML emails
Keep a track of project timelines.

Project management skills, Good interpersonal skills,",Sadhguru Academy,English (UK),"Soft Skills / Articulate in communication,Soft Skills / Strong Interpersonal skills (Coordinator)",NA
Isha Leadership Academy - Content Support Executive (CSE) - 2286,Content Support Executive (CSE),"Raise and follow up JIRA requests with all departments - impressions, emedia and video pub. 

E.g - 
Coordinate with Impressions for design of collaterals - Brochure, Standee, flyers, posters, tags, certificates, note books, feedback forms, workshop reflection forms.
Coordinate with vendor/emedia for website updates, HTML coding for creating HTML emails
Keep a track of project timelines.

Project management skills, Good interpersonal skills, Advanced Excel",Sadhguru Academy,English (US),Soft Skills / Articulate in communication,NA
Isha Leadership Academy - Content Writer - 2287,Content Writer,"Marketing Content writing
Mark content in the archives for marketing videos, testimonials etc. 
Create a draft for video scripts, emails, banners, posters etc
Write blogs/articles, blurbs etc. 
Review and correct errors in content- video subtitles, emails and posts.
Corporate communication, Experience in Managing a business, Expert in english language, Attention to detail, Marketing, Branding

Social Media Content writing
Create content strategy for Social Media pages.
Create Social Media content such as visualize ideas,infographics along with blurbs - For Facebook, LinkedIn, Twitter and Whatsapp, 
Live social media posting during the programs
Corporate communication, Marketing, English language proficiency",Sadhguru Academy,English (UK),Soft Skills / Articulate in communication,NA
Isha Leadership Academy - Social media Manager - 2288,Social media Manager,"Social Media Admin
Publish approved content in all platforms, 
Reply to queries on all ILA Social Platforms, 
Upload videos on ILA youtube channel, keep ILA youtube playlist updated
Track performance of all the posts.",Sadhguru Academy,English (UK),"Emedia / Active on Social Media,Soft Skills / Articulate in communication,Emedia / Social Media Campaigns",NA
Isha Leadership Academy - Marketing Manager/ Executive - 2289,Marketing Manager/ Executive,"Marketing 

Analyze marketing data to gather insights to help with marketing strategy. 
Advanced Excel, Attention to detail, Good analytical skills",Sadhguru Academy,English (UK),"Soft Skills / Articulate in communication,Emedia / Digital Marketing,Corporate / Marketing & Branding Executive,Corporate / Marketing & Branding Manager",NA
Ashram Administration - Administrative Activities (Back Office) - 2290,Administrative Activities (Back Office),"For Courier 
1. Sorting incoming couriers
2. Date Entry of couriers
3. Handing over parcels

For Dhvanikarnam Seva (Requesting a new name from Sadhguru) We will be opening it up to all meditators and non meditators within a month

1. Answer emails 
2. Help registered participants through their name request journey
3. Handle data 
4. Prepare and courier blessing cards",Ashram Administration,"English (UK),Hindi / हिंदी","Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Soft-spoken and cordial",NA
Ashram Administration - On ground Support - 2291,On ground Support,"Cycle Pooling/ Vehicle Database

1. Maintain and track data regarding cycles
2. Do rounds, find cycles that need maintenance and hand over to cycle shop
3. Take regular inventory of cycles
4. Collect data and assign stickers for cycles
5. Support with basic cycle maintenance 
6, Need to physically strong",Ashram Administration,NA,Soft Skills / Fit for Physical Seva,NA
Outside Tamil Nadu and Global media - Content Writer - Media - 2292,Content Writer - Media,"The volunteer will be responsible for creating positive content related to the various activities of Isha and Sadhguru, to reach a wide audience
•Identifying narratives from Isha activities that would be relevant to share with wider audience
•Write articles, press releases and blogs that can be published inmedia houses.


Desired Experience/skills:

Experience in media – print/digital/Television (reporters, press release writers, journalist, feature article writers)

Desired Education qualification: Mass communication, visual communication, advertising, Journalism",IYC Communications / Outside Tamil Nadu and Global media,NA,Media and Communication / Content Writer,NA
Outside Tamil Nadu and Global media - Media Operations - 2293,Media Operations,"Asp art of the Isha central media team, the volunteer will be responsible for

- Coordinating with various departments within Isha to provide content for media front-end team
- Maintain database and catalogue for media content
- Identify stories within Isha that can be potential media stories, and coordinate with projects to get appropriate content
- Use internal ticketing system to make requests, and follow-up with teams to deliver on those
- Coordinate with Indian regional teams and global media teams for content delivery
- Catering to other operational needs in the media team

Experience:
- Managing admin and operations
- Tools: MS Excel
- Desired: Knowledge media houses and landscape",IYC Communications / Outside Tamil Nadu and Global media,NA,"Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Basic Computer Skills / Data Entry skills",NA
Outside Tamil Nadu and Global media - Guest Care Support - 2294,Guest Care Support,"Key Responsibilities:
- Guest Engagement : Greet guests warmly and assist them with any inquiries, requests, or concerns, take them on an ashram tour, and - - ensure a welcoming and friendly atmosphere during their whole time at IYC.
Information Resource: Provide accurate information about the ashram spaces, Isha’s projects, programs and anything else that might come up.
- Communication: Maintain clear and open communication with guests through various channels, including in-person, phone, email, or chat.
- Booking and Reservation Assistance: Assist guests in making reservations, bookings, for cottage, cab and programs/rituals. 
Feedback Collection: Collect and record guest feedback and reviews, forwarding valuable insights to the relevant teams for continuous improvement.
- Emergency Response: Be knowledgeable about emergency procedures and assist in handling guest-related emergencies calmly and efficiently.
- Record Keeping: Maintain detailed records of guest interactions and transactions, ensuring accuracy and confidentiality.
- Team Collaboration: Collaborate closely with other departments to coordinate guest services and resolve issues effectively.

Requirements:
Strong interpersonal and communication skills, both verbal and written in English
Empathy and a genuine desire to make sure guests experience the ashram in the best way possible
Ability to remain calm and composed in high-pressure situations.
Excellent problem-solving skills and attention to detail.
Flexibility to be available at all hours when required on certain days.",IYC Communications / Outside Tamil Nadu and Global media,NA,Soft Skills / Articulate in communication,NA
Outside Tamil Nadu and Global media - Video Editor - 2296,Video Editor,"The volunteer will be responsible for creating and editing videos for the media team, related to the various activities of Isha and Sadhguru, to reach a wide audience
- Identifying narratives from Isha activities that would be relevant to share with wider audience
- Create and editing videos 
Desired experience: Video editing",IYC Communications / Outside Tamil Nadu and Global media,NA,Arts and Crafts / Video Editor,NA
Outside Tamil Nadu and Global media - Graphic Designer - 2297,Graphic Designer,- Creating graphics and creatives using Canva or any other application.,IYC Communications / Outside Tamil Nadu and Global media,NA,Arts and Crafts / Graphic Designer,NA
Outside Tamil Nadu and Global media - Content Researcher - 2298,Content Researcher,"Seeing and summarizing the SM and Media trends for Sadhguru’s brand
Research overall news for opportunities 
Accessing threats and opportunities
Creating PR reports
Creating various Kind of Influencers and detractors databases
Strategies for taking Sadhguru to new audiences
Maintaining dossier of various celebrities, Political parties and leaders, Organisations, etc
Driving supportive/positive content on Social Media


Skills Required: Politically aware, Adept with current affairs and multidisciplinary knowledge, Good with Google Sheets and Docs, Writing Skills, Aware of various kinds of Influencers, Social Media and Tech Savvy, Aware of conversations happening on Isha",IYC Communications / Outside Tamil Nadu and Global media,NA,"IT / Business Analyst,General / Researcher",NA
Outside Tamil Nadu and Global media - Coordinating Activities - 2299,Coordinating Activities,"Coordinating between teams, Time management, Communication skills, Creating & managing WhatsApp groups, Overlooking projects, Basic planning",IYC Communications / Outside Tamil Nadu and Global media,NA,"Soft Skills / Articulate in communication,Soft Skills / Strong Interpersonal skills (Coordinator)",NA
Electrical - Recruitment Officer - 2300,Recruitment Officer,"Recruiting candidates
Maintaining employee records
Job analysis and design",Electrical,"Tamil,English (US)",Corporate / HR Executive,NA
Electrical - Supervising Activities - 2301,Supervising Activities,"Planning and Assigning activities for Bengali Sevadhars.
Supervising Work of Sevadhars.",Electrical,"Bengali / বাংলা,English (US)",Soft Skills / Strong Interpersonal skills (Coordinator),Soft Skills / Fit for Physical Seva
Electrical - Supervising Activities - 2302,Supervising Activities,"Planning and Assigning activities for Bengali Sevadhars.
Supervising Work of Sevadhars.",Electrical,"Tamil,Hindi / हिंदी,English (US)",Soft Skills / Strong Interpersonal skills (Coordinator),Soft Skills / Fit for Physical Seva
Electrical - CAD Designer - 2303,CAD Designer,"Design electrical systems for different purposes.
Choose appropriate electrical components.
Work with other engineers and stakeholders.",Electrical,NA,Construction & Fabrication / Drafting - AutoCad,Engineering / Electrical Engineer
Electrical - CAD Designer - 2304,CAD Designer,"Design electrical systems for different purposes.
Choose appropriate electrical components.
Work with other engineers and stakeholders.",Electrical,NA,Construction & Fabrication / Drafting - AutoCad,NA
Electrical - Electrical Maintenance Support - 2305,Electrical Maintenance Support,"Support in maintenance of electrical equipment across the ashram.
provide necessary guidance to sevadhar/volunteer to carry out maintenance activities",Electrical,NA,"Engineering / Electrical Engineer,General / Electrician",Soft Skills / Fit for Physical Seva
Electrical - Electrical Maintenance Support - 2306,Electrical Maintenance Support,"Support in maintenance of electrical equipment across the ashram.
Participent will support in following areas. 
1. Electrical Maintenance support
2. Program Support 
3. Preventive maintenance support",Electrical,"English (US),Tamil",General / Electrician,Soft Skills / Fit for Physical Seva
Electrical - Customer Support Representatives - 2307,Customer Support Representatives,"Customer support Representative will be mainly involved in assisting with calls from 5400 , updating in the comments in Jira.
Sending mails reg preventive maintenance, 
Promoting energy conservation in customers through promo / flyers.",Electrical,English (US),"Basic Computer Skills / Data Entry skills,IT / Developer - full stack",IT / Data Analyst
Electrical - Electrical Design Engineer - 2308,Electrical Design Engineer,"1. Design electrical systems for different purposes.
2. Oversee design work and guide the staff/volunteer",Electrical,English (US),"Construction & Fabrication / Drafting - AutoCad,Engineering / Electrical Engineer",Soft Skills / Strong Interpersonal skills (Coordinator)
Electrical - Electrical Engineer - 2309,Electrical Engineer,"1. Executing field installations and commissioning of electrical systems.
2. Conducting on-site testing, troubleshooting, and ensuring project compliance.",Electrical,"English (US),Tamil","Engineering / Electrical Engineer,General / Electrician","Soft Skills / Fit for Physical Seva,Soft Skills / Strong Interpersonal skills (Coordinator)"
Electrical - Project Manager - 2310,Project Manager,"1. Overseeing the planning, execution, and completion of electrical projects.
2. Managing project budgets, timelines, and resources effectively.
3. Coordinating with internal teams, clients, and subcontractors to ensure successful project delivery.",Electrical,"English (US),Tamil","Engineering / Electrical Engineer,Soft Skills / Strong Interpersonal skills (Coordinator)","Soft Skills / Fit for Physical Seva,Corporate / Manager - Others"
Electrical - Asset and Inventory management - 2311,Asset and Inventory management,"1. Managing inventory levels to meet project and maintenance requirements.
2. Optimizing inventory processes, including ordering, receiving, and storage.",Electrical,"English (US),Tamil",General / Inventory,Soft Skills / Fit for Physical Seva
Electrical - Asset and Inventory management - 2312,Asset and Inventory management,"1. Managing inventory levels to meet project and maintenance requirements.
2. Optimizing inventory processes, including ordering, receiving, and storage.",Electrical,"English (US),Tamil",General / Inventory,Soft Skills / Fit for Physical Seva
Audio - Technical support for Audio - 2313,Technical support for Audio,"setup support for the events ensures that systems and equipment function properly and deliver high-quality AV for events such as Live Sadhguru events, various ashram events, etc.",Audio,English (UK),"IT / IT - Others,General / Inventory,Engineering / Sound Engineer",Basic Computer Skills / Basic Computer (MS Office and Email) Skills
Volunteers Reception Office - Coordinating Activities - 2314,Coordinating Activities,"Seva co-ordination, maintaining seva allocation to volunteers, seva follow-ups, updating seva sheet on the backend etc",Volunteers Reception Office,NA,"Basic Computer Skills / Data Entry skills,Corporate / Operations Executive",NA
Project Finance - Accountant - 2315,Accountant,Preparing & Analysing the reports,Finance / Project Finance,"Tamil,English (US)",Soft Skills / Soft-spoken and cordial,"Accounting / Basic Accountancy,Basic Computer Skills / Basic Computer (MS Office and Email) Skills"
Project Finance - Accountant - 2316,Accountant,Donor Support,Finance / Project Finance,"Tamil,English (US)",Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills
Project Finance - Account Auditor - 2317,Account Auditor,Preparing & Analysing Utilisation reports,Finance / Project Finance,"Tamil,English (US)",Accounting / Auditor,"Soft Skills / Articulate in communication,IT / Artificial Intelligence/ Machine Learning"
Project Finance - Accountant - 2318,Accountant,Supporting in technical & admin aspects,Finance / Project Finance,"English (US),Tamil",Accounting / Basic Accountancy,"Environment / Agriculture/ Farmer,Basic Computer Skills / Basic Computer (MS Office and Email) Skills"
Global Languages Publications - Translators - 2319,Translators,"Turkish TranslatorTranslation of text, creatives (text+image) and videos.
Turkish ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
Turkish Video EditorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,Turkish / Türkçe,Soft Skills / Articulate in communication,Arts and Crafts / Video Editor
