,SP ID,Any Additional Skills,Computer Skills,Gender,Age,Work Experience/Company,Work Experience/Designation,Work Experience/Tasks,Work Experience/Industry,Work Experience/From Date,Work Experience/To Date,Education/Qualifications,Education/Specialization,Skills,Languages,Years of Experience,summary
10,619542,NA,Basic,Male,24.0,['NA'],['NA'],['NA'],['NA'],['NA'],['NA'],['Bachelor of Law (B.L. / LLB)'],['Litigation'],['General / Lawyer'],['English (UK) (R W S T)'],,"
Participant 619542 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: ['Bachelor of Law (B.L. / LLB)'] in ['Litigation'].
They have the following skills: ['General / Lawyer'] and NA and computer skill 
Basic and know the following languages: English (UK) (R W S T).
The participant is a Male and 24.0 years old.
"
11,619537,NA,Diploma in computer application,Female,39.0,"['Manipal hospital Whitefield', 'Prakash power planning pvt']","['Senior patient care coordinator', 'Assistant purchase manager']","['Billing, customer service, appointment booking,floor incharge,billing', 'Billing, invoice, quotation,tender']","['Healthcare', 'Purchase']",['NA'],['NA'],['Bachelor of Commerce (B.Com)'],['Accounts'],['Emedia / Active on Social Media'],['Kannada (R W S T)'],,"
Participant 619537 has the following work experience: A Healthcare in the industry doing Billing, customer service, appointment booking,floor incharge,billing tasks.
They have the following qualifications: ['Bachelor of Commerce (B.Com)'] in ['Accounts'].
They have the following skills: ['Emedia / Active on Social Media'] and NA and computer skill 
Diploma in computer application and know the following languages: Kannada (R W S T).
The participant is a Female and 39.0 years old.
"
12,619536,NA,Basic skills in operating computer,Male,39.0,['Tanishq'],['Senior retail sales officer'],"['Selling of good, diamond,platinum ti customers ,handling stock, casheir']",['Retail'],['2009-01-01'],['2012-12-06'],['Master of Business Administration (M.B.A.)'],['Retail and marketing'],['Emedia / Active on Social Media'],['English (IN) (R W S T)'],[3.93],"
Participant 619536 has the following work experience: A Retail in the industry doing Selling of good, diamond,platinum ti customers ,handling stock, casheir tasks for 47 months.
They have the following qualifications: ['Master of Business Administration (M.B.A.)'] in ['Retail and marketing'].
They have the following skills: ['Emedia / Active on Social Media'] and NA and computer skill 
Basic skills in operating computer and know the following languages: English (IN) (R W S T).
The participant is a Male and 39.0 years old.
"
13,619528,NA,"Keyboard Shortcuts & Typing 
Word Processing: Microsoft Word, Google Docs 
Spreadsheets: Microsoft Excel, Google Sheets 
Presentations: Microsoft PowerPoint 
Database Management Systems: SQL Server, MySQL 
Data Tools: Snowflake, Power BI, Azure Synapse Analytics, Azure Data Factory, Fabric, SSMS, SSIS 
Programming Languages: Python, Java 
Web development: HTML, CSS, Javascript 
Github, Visual Studio Code 
Design: Figma",Female,22.0,['CDW'],['Associate Consultant'],['Part of the Data Engineering Team. Working on migrating data from on premises to Cloud(ADF/Fabric). Worked on Alteryx to replicate the dataflow in ADF. Also have experience on building stored procedures in SSMS and packages in SSIS.'],['IT'],['NA'],['NA'],['Bachelor of Technology (B.Tech)'],['Information Technology'],['Emedia / Active on Social Media'],"['Tamil (R W S T)', 'English (US) (R W S T)', 'Hindi / हिंदी (R W  )']",,"
Participant 619528 has the following work experience: A IT in the industry doing Part of the Data Engineering Team. Working on migrating data from on premises to Cloud(ADF/Fabric). Worked on Alteryx to replicate the dataflow in ADF. Also have experience on building stored procedures in SSMS and packages in SSIS. tasks.
They have the following qualifications: ['Bachelor of Technology (B.Tech)'] in ['Information Technology'].
They have the following skills: ['Emedia / Active on Social Media'] and NA and computer skill 
Keyboard Shortcuts & Typing 
Word Processing: Microsoft Word, Google Docs 
Spreadsheets: Microsoft Excel, Google Sheets 
Presentations: Microsoft PowerPoint 
Database Management Systems: SQL Server, MySQL 
Data Tools: Snowflake, Power BI, Azure Synapse Analytics, Azure Data Factory, Fabric, SSMS, SSIS 
Programming Languages: Python, Java 
Web development: HTML, CSS, Javascript 
Github, Visual Studio Code 
Design: Figma and know the following languages: Tamil (R W S T).English (US) (R W S T).Hindi / हिंदी (R W  ).
The participant is a Female and 22.0 years old.
"
14,619335,"Tableau, Power BI, Hadoop, Web designing, c-language, Event organizing for small businesses",Web Applications,Male,21.0,['AIVariant'],['Business Analyst Intern'],['NA'],['IT'],['2024-06-11'],['2024-09-23'],['Bachelor of Computer Application (B.C.A.)'],['NA'],['IT / Data Analyst'],['English (IN) (R W S T)'],[0.28],"
Participant 619335 has the following work experience: A IT in the industry doing NA tasks for 3 months.
They have the following qualifications: ['Bachelor of Computer Application (B.C.A.)'] in ['NA'].
They have the following skills: ['IT / Data Analyst'] and Tableau, Power BI, Hadoop, Web designing, c-language, Event organizing for small businesses and computer skill 
Web Applications and know the following languages: English (IN) (R W S T).
The participant is a Male and 21.0 years old.
"
15,619120,NA,IT Professional,Male,40.0,"['Apps Associates', 'Emtec Inc.']","['Practice Manager', 'Practice Manager']","['Responsible for technical delivery of Analytics projects, specializing in Oracle Analytics, Tableau and Power BI', 'Responsible for technical delivery of Analytics projects, specializing in Oracle Analytics, Tableau and Power BI']","['IT', 'IT']",['NA'],['NA'],['Master of Science (M.Sc)'],['Computer Science'],['IT / Developer'],"['English (US) (R W S T)', 'Hindi / हिंदी (R W S T)']",,"
Participant 619120 has the following work experience: A IT in the industry doing Responsible for technical delivery of Analytics projects, specializing in Oracle Analytics, Tableau and Power BI tasks.
They have the following qualifications: ['Master of Science (M.Sc)'] in ['Computer Science'].
They have the following skills: ['IT / Developer'] and NA and computer skill 
IT Professional and know the following languages: English (US) (R W S T).Hindi / हिंदी (R W S T).
The participant is a Male and 40.0 years old.
"
16,619111,NA,MS Office.,Female,35.0,"['Citi Bank', 'BBVA Bank']","['IT Business Analyst', 'Business Analyst']",['NA'],"['IT', 'IT']",['NA'],['NA'],['Master of Engineering (M.E.)'],['Environmental Engineering'],['IT / Business Analyst'],"['English (UK) (R W S T)', 'Hindi / हिंदी (R W S T)']",,"
Participant 619111 has the following work experience: A IT in the industry doing NA tasks.
They have the following qualifications: ['Master of Engineering (M.E.)'] in ['Environmental Engineering'].
They have the following skills: ['IT / Business Analyst'] and NA and computer skill 
MS Office. and know the following languages: English (UK) (R W S T).Hindi / हिंदी (R W S T).
The participant is a Female and 35.0 years old.
"
17,619029,NA,"Can use the computer on intermidiate level , I am not pro",Male,21.0,['NA'],['NA'],['NA'],['NA'],['NA'],['NA'],['HSC/12'],['NA'],['IT / Developer - front end'],['English (US) (R W S T)'],,"
Participant 619029 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: ['HSC/12'] in ['NA'].
They have the following skills: ['IT / Developer - front end'] and NA and computer skill 
Can use the computer on intermidiate level , I am not pro and know the following languages: English (US) (R W S T).
The participant is a Male and 21.0 years old.
"
18,618949,"Spanish Tutor
Sound editing","Office, video-edition, sound-editing",Male,31.0,"['Self empoyed', 'CEIEC (China Electronics Imp. & Exp. Corporation)', 'Apple Electronics Products Commerce (Beijing) Company']","['English & Spanish tutor', 'Assistant Manager', 'Salesman']","['Help students pass exams', 'As translator and coordinator help the Project Manager in communicating with customers and suppliers', 'Transform Apple Store visitors into loyal customers']","['Teaching', 'Import and Export', 'Retail']",['NA'],['NA'],['Bachelor - Other'],['Spanish Literature'],['Arts and Crafts / Film Director'],"['English (US) (R W S T)', 'Spanish / Español (R W S T)']",,"
Participant 618949 has the following work experience: A Teaching in the industry doing Help students pass exams tasks.
They have the following qualifications: ['Bachelor - Other'] in ['Spanish Literature'].
They have the following skills: ['Arts and Crafts / Film Director'] and Spanish Tutor
Sound editing and computer skill 
Office, video-edition, sound-editing and know the following languages: English (US) (R W S T).Spanish / Español (R W S T).
The participant is a Male and 31.0 years old.
"
19,618917,NA,Don't have any certificate but have some basic knowledge.,Male,24.0,['NA'],['NA'],['NA'],['NA'],['NA'],['NA'],['Bachelor of Arts (B.A.)'],['Political Science(Hons)'],['Emedia / Active on Social Media'],['English (UK) (R W S )'],,"
Participant 618917 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: ['Bachelor of Arts (B.A.)'] in ['Political Science(Hons)'].
They have the following skills: ['Emedia / Active on Social Media'] and NA and computer skill 
Don't have any certificate but have some basic knowledge. and know the following languages: English (UK) (R W S ).
The participant is a Male and 24.0 years old.
"
20,618880,organic fertilizer making ,Normal daily use skills,Male,29.0,['Bloomantra foods pvt Ltd'],['Director'],"['Marketing, production, expansion']",['Agriculture'],['NA'],['NA'],['Bachelor of Arts (B.A.)'],['NA'],['Environment / Agriculture/ Farmer'],['English (US) (R W S T)'],,"
Participant 618880 has the following work experience: A Agriculture in the industry doing Marketing, production, expansion tasks.
They have the following qualifications: ['Bachelor of Arts (B.A.)'] in ['NA'].
They have the following skills: ['Environment / Agriculture/ Farmer'] and organic fertilizer making  and computer skill 
Normal daily use skills and know the following languages: English (US) (R W S T).
The participant is a Male and 29.0 years old.
"
21,618829,NA,"Word, excel etc",Male,36.0,"['Texas instruments, analog devices, corning, aura semiconductor']",['Applications engineer'],"['Board design, circuit debugging']",['Industrial Products'],['2014-12-20'],['2024-07-01'],['Master of Engineering (M.E.)'],['Electronics'],['Soft Skills / Articulate in communication'],"['English (AU) (R W S T)', 'Hindi / हिंदी (R W S T)', 'Kannada (R  S )', 'Marathi (R W S )']",[9.54],"
Participant 618829 has the following work experience: A Industrial Products in the industry doing Board design, circuit debugging tasks for 115 months.
They have the following qualifications: ['Master of Engineering (M.E.)'] in ['Electronics'].
They have the following skills: ['Soft Skills / Articulate in communication'] and NA and computer skill 
Word, excel etc and know the following languages: English (AU) (R W S T).Hindi / हिंदी (R W S T).Kannada (R  S ).Marathi (R W S ).
The participant is a Male and 36.0 years old.
"
22,618828,NA,"Understand computer fundamentals very well, have done courses and operating MS office  programs and utility softwares regularly in my CA(Chartered Accountancy), Familier with popular accounting, auditing and tax filing software.",Male,31.0,['Palwal Handicrafts'],['Manager'],['Manage All processes of manufacturing and retail units.'],['Manufacturing'],['NA'],['NA'],"['Bachelor of Commerce (B.Com)', 'Other']",['Economics'],['Emedia / Active on Social Media'],"['Hindi / हिंदी (R W S T)', 'English (US) (R W S T)']",,"
Participant 618828 has the following work experience: A Manufacturing in the industry doing Manage All processes of manufacturing and retail units. tasks.
They have the following qualifications: ['Bachelor of Commerce (B.Com)', 'Other'] in ['Economics'].
They have the following skills: ['Emedia / Active on Social Media'] and NA and computer skill 
Understand computer fundamentals very well, have done courses and operating MS office  programs and utility softwares regularly in my CA(Chartered Accountancy), Familier with popular accounting, auditing and tax filing software. and know the following languages: Hindi / हिंदी (R W S T).English (US) (R W S T).
The participant is a Male and 31.0 years old.
"
23,618810,NA,"Proficient in MS Office Suite, Accounting Software-Tally & Miracle, Auditing Software- Genius and Compu Tax, e-web applications.",Male,27.0,"['JBD & Associates', 'Kavita Trading']","['Audit Assistant', 'Tax Compliance Officer']","['Tax Audit, GST Audit, ITR Fillings, GST Return Fillings, TDS Fillings, Financial Management etc', 'Accounting, Books Finalization, Stock Audit, GST Return Fillings.']","['Accounts', 'Retail']",['NA'],['NA'],"['Other', 'Master of Business Administration (M.B.A.)', 'Bachelor of Commerce (B.Com)']","['NA', 'Finance', 'Adv Accounts']",['Emedia / Active on Social Media'],"['English (UK) (R W S T)', 'Hindi / हिंदी (R W S T)']",,"
Participant 618810 has the following work experience: A Accounts in the industry doing Tax Audit, GST Audit, ITR Fillings, GST Return Fillings, TDS Fillings, Financial Management etc tasks.
They have the following qualifications: ['Other', 'Master of Business Administration (M.B.A.)', 'Bachelor of Commerce (B.Com)'] in ['NA', 'Finance', 'Adv Accounts'].
They have the following skills: ['Emedia / Active on Social Media'] and NA and computer skill 
Proficient in MS Office Suite, Accounting Software-Tally & Miracle, Auditing Software- Genius and Compu Tax, e-web applications. and know the following languages: English (UK) (R W S T).Hindi / हिंदी (R W S T).
The participant is a Male and 27.0 years old.
"
24,618735,Google sheets,"Google sheets. 
OneNote. 
Fluent at basic computer operation. 
Research based web use.",Male,29.0,"['Self', 'Singh hum Automobile']","['Trader', 'Manager']","['Analytics and risk management along with asset allocation.', 'Manage day to day operations and keep the accounting of the business.']","['Finance', 'Automobiles']",['NA'],['NA'],['Bachelor of Commerce (B.Com)'],['Finance'],['Accounting / Basic Accountancy'],"['English (US) (R W S T)', 'Marwadi (  S T)']",,"
Participant 618735 has the following work experience: A Finance in the industry doing Analytics and risk management along with asset allocation. tasks.
They have the following qualifications: ['Bachelor of Commerce (B.Com)'] in ['Finance'].
They have the following skills: ['Accounting / Basic Accountancy'] and Google sheets and computer skill 
Google sheets. 
OneNote. 
Fluent at basic computer operation. 
Research based web use. and know the following languages: English (US) (R W S T).Marwadi (  S T).
The participant is a Male and 29.0 years old.
"
25,618727,NA,"Microsoft excel ,word , and other basic operations",Male,32.0,['Nature basket'],['Accountant'],['Handling accounts'],['Accounts'],['2020-08-10'],['2023-07-17'],['Bachelor of Commerce (B.Com)'],['NA'],"['Environment / Agriculture/ Farmer', 'Accounting / Basic Accountancy']","['English (AU) (R W S T)', 'Hindi / हिंदी (R W S T)', 'Tulu (  S T)', 'Tamil (  S T)']",[2.93],"
Participant 618727 has the following work experience: A Accounts in the industry doing Handling accounts tasks for 35 months.
They have the following qualifications: ['Bachelor of Commerce (B.Com)'] in ['NA'].
They have the following skills: ['Environment / Agriculture/ Farmer', 'Accounting / Basic Accountancy'] and NA and computer skill 
Microsoft excel ,word , and other basic operations and know the following languages: English (AU) (R W S T).Hindi / हिंदी (R W S T).Tulu (  S T).Tamil (  S T).
The participant is a Male and 32.0 years old.
"
26,618689,NA,don't know how to use,Female,36.0,['NA'],['NA'],['NA'],['NA'],['NA'],['NA'],['NA'],['NA'],['Soft Skills / Enthusiastic'],['Chinese (Simplified) / 简体中文 (R W S T)'],,"
Participant 618689 has the following work experience: A NA in the industry doing NA tasks.
They have the following qualifications: ['NA'] in ['NA'].
They have the following skills: ['Soft Skills / Enthusiastic'] and NA and computer skill 
don't know how to use and know the following languages: Chinese (Simplified) / 简体中文 (R W S T).
The participant is a Female and 36.0 years old.
"
